hgnc	ensg	confidence	phenotype	panel	disease_group	moi
ALB	ENSG00000163631	3	Familial dysalbuminaemic hyperthyroxinaemia	Hyperthyroidism	Endocrine disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
SECISBP2	ENSG00000187742	3	Abnormal thyroid hormone metabolism	Hyperthyroidism	Endocrine disorders	BIALLELIC, autosomal or pseudoautosomal
THRB	ENSG00000151090	3	Resistance to thyroid hormone (RTH)	Hyperthyroidism	Endocrine disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
TSHR	ENSG00000165409	3	Congenital, nonautoimmune hyperthyroidism	Hyperthyroidism	Endocrine disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
THRA	ENSG00000126351	3	RTH alpha	Hyperthyroidism	Endocrine disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
SLC16A2	ENSG00000147100	3	Allan-Herndon-Dudley syndrome, OMIM:300523	Hyperthyroidism	Endocrine disorders	X-LINKED: hemizygous mutation in males, biallelic mutations in females
PGM2L1	ENSG00000165434	3	Neurodevelopmental disorder with hypotonia, dysmorphic facies, and skin abnormalities, OMIM:620191	Severe early-onset obesity	Endocrine disorders	BIALLELIC, autosomal or pseudoautosomal
KIDINS220	ENSG00000134313	3	Spastic paraplegia, intellectual disability, nystagmus, and obesity, OMIM:617296	Severe early-onset obesity	Endocrine disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
CPE	ENSG00000109472	3	Intellectual developmental disorder and hypogonadotropic hypogonadism, OMIM:619326	Severe early-onset obesity	Endocrine disorders	BIALLELIC, autosomal or pseudoautosomal
GNAS	ENSG00000087460	3	Pseudohypoparathyroidism Ia, OMIM:103580	Severe early-onset obesity	Endocrine disorders	MONOALLELIC, autosomal or pseudoautosomal, paternally imprinted (maternal allele expressed)
PHIP	ENSG00000146247	3	Obesity	Severe early-onset obesity	Endocrine disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
TUB	ENSG00000166402	2	?Retinal dystrophy and obesity, OMIM:616188	Severe early-onset obesity	Endocrine disorders	BIALLELIC, autosomal or pseudoautosomal
CEP290	ENSG00000198707	2	Congenital Obesity	Severe early-onset obesity	Endocrine disorders	BIALLELIC, autosomal or pseudoautosomal
SDCCAG8	ENSG00000054282	3	Obesity	Severe early-onset obesity	Endocrine disorders	BIALLELIC, autosomal or pseudoautosomal
NTRK2	ENSG00000148053	3	Obesity, hyperphagia, and developmental delay, OMIM:613886	Severe early-onset obesity	Endocrine disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
MYT1L	ENSG00000186487	3	obesity	Severe early-onset obesity	Endocrine disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
LEPR	ENSG00000116678	3	Obesity, morbid, due to leptin receptor deficiency, OMIM:614963	Severe early-onset obesity	Endocrine disorders	BIALLELIC, autosomal or pseudoautosomal
CEP19	ENSG00000174007	3	Morbid obesity and spermatogenic failure, OMIM:615703	Severe early-onset obesity	Endocrine disorders	BIALLELIC, autosomal or pseudoautosomal
BBS10	ENSG00000179941	3	obesity	Severe early-onset obesity	Endocrine disorders	BIALLELIC, autosomal or pseudoautosomal
ALMS1	ENSG00000116127	3	Alstrom syndrome, OMIM:203800	Severe early-onset obesity	Endocrine disorders	BIALLELIC, autosomal or pseudoautosomal
ARL6	ENSG00000113966	3	Obesity	Severe early-onset obesity	Endocrine disorders	BIALLELIC, autosomal or pseudoautosomal
BBS1	ENSG00000174483	3	Bardet-Biedl syndrome 1 OMIM:209900	Severe early-onset obesity	Endocrine disorders	BIALLELIC, autosomal or pseudoautosomal
BBS12	ENSG00000181004	3	obesity	Severe early-onset obesity	Endocrine disorders	BIALLELIC, autosomal or pseudoautosomal
BBS2	ENSG00000125124	3	Obesity	Severe early-onset obesity	Endocrine disorders	BIALLELIC, autosomal or pseudoautosomal
BBS4	ENSG00000140463	3	Obesity	Severe early-onset obesity	Endocrine disorders	BIALLELIC, autosomal or pseudoautosomal
BBS5	ENSG00000163093	3	Obesity	Severe early-onset obesity	Endocrine disorders	BIALLELIC, autosomal or pseudoautosomal
BBS7	ENSG00000138686	3	Obesity	Severe early-onset obesity	Endocrine disorders	BIALLELIC, autosomal or pseudoautosomal
BBS9	ENSG00000122507	3	Obesity	Severe early-onset obesity	Endocrine disorders	BIALLELIC, autosomal or pseudoautosomal
LEP	ENSG00000174697	3	Obesity, morbid, due to leptin deficiency, OMIM:614962	Severe early-onset obesity	Endocrine disorders	BIALLELIC, autosomal or pseudoautosomal
MC4R	ENSG00000166603	3	Obesity (BMIQ20), OMIM:618406	Severe early-onset obesity	Endocrine disorders	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal
MKKS	ENSG00000125863	3	Obesity	Severe early-onset obesity	Endocrine disorders	BIALLELIC, autosomal or pseudoautosomal
MKS1	ENSG00000011143	3	Obesity	Severe early-onset obesity	Endocrine disorders	BIALLELIC, autosomal or pseudoautosomal
PCSK1	ENSG00000175426	3	Obesity with impaired prohormone processing, OMIM:600955	Severe early-onset obesity	Endocrine disorders	BIALLELIC, autosomal or pseudoautosomal
PHF6	ENSG00000156531	3	Borjeson-Forssman-Lehmann syndrome, OMIM:301900	Severe early-onset obesity	Endocrine disorders	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
POMC	ENSG00000115138	3	{Obesity, early-onset, susceptibility to}, OMIM:601665	Severe early-onset obesity	Endocrine disorders	BIALLELIC, autosomal or pseudoautosomal
TTC8	ENSG00000165533	3	Obesity	Severe early-onset obesity	Endocrine disorders	BIALLELIC, autosomal or pseudoautosomal
VPS13B	ENSG00000132549	3	Obesity	Severe early-onset obesity	Endocrine disorders	BIALLELIC, autosomal or pseudoautosomal
SH2B1	ENSG00000178188	2	obesity	Severe early-onset obesity	Endocrine disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
SIM1	ENSG00000112246	3	obesity	Severe early-onset obesity	Endocrine disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
INPP5E	ENSG00000148384	2	Mental retardation, truncal obesity, retinal dystrophy, and micropenis, OMIM:610156	Severe early-onset obesity	Endocrine disorders	BIALLELIC, autosomal or pseudoautosomal
KSR2	ENSG00000171435	2	obesity	Severe early-onset obesity	Endocrine disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
CYP11B2	ENSG00000179142	2	Hypoaldosteronism, congenital, due to CMO I deficiency, OMIM:203400	Congenital adrenal hypoplasia	Endocrine disorders	BIALLELIC, autosomal or pseudoautosomal
POLE	ENSG00000177084	3	IMAGE-I syndrome, OMIM:618336	Congenital adrenal hypoplasia	Endocrine disorders	BIALLELIC, autosomal or pseudoautosomal
CYP11A1	ENSG00000140459	3	Adrenal insufficiency, congenital, with 46XY sex reversal, partial or complete, OMIM:613743	Congenital adrenal hypoplasia	Endocrine disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
AAAS	ENSG00000094914	3	Achalasia-addisonianism-alacrimia syndrome, OMIM:231550	Congenital adrenal hypoplasia	Endocrine disorders	BIALLELIC, autosomal or pseudoautosomal
STAR	ENSG00000147465	3	Ideopathic Primary Adrenal Failure	Congenital adrenal hypoplasia	Endocrine disorders	BIALLELIC, autosomal or pseudoautosomal
NNT	ENSG00000112992	3	Ideopathic Primary Adrenal Failure	Congenital adrenal hypoplasia	Endocrine disorders	BIALLELIC, autosomal or pseudoautosomal
AIRE	ENSG00000160224	3	Ideopathic Primary Adrenal Failure	Congenital adrenal hypoplasia	Endocrine disorders	BIALLELIC, autosomal or pseudoautosomal
SAMD9	ENSG00000205413	3	MIRAGE syndrome, 617053	Congenital adrenal hypoplasia	Endocrine disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
NR0B1	ENSG00000169297	3	46XY sex reversal 2, dosage-sensitive, 300018	Congenital adrenal hypoplasia	Endocrine disorders	X-LINKED: hemizygous mutation in males, biallelic mutations in females
TBX19	ENSG00000143178	3	Isolated ACTH insufficiency	Congenital adrenal hypoplasia	Endocrine disorders	BIALLELIC, autosomal or pseudoautosomal
MCM4	ENSG00000104738	2	Ideopathic Primary Adrenal Failure	Congenital adrenal hypoplasia	Endocrine disorders	
CDKN1C	ENSG00000129757	3	Intrauterine Growth Retardation, Metaphyseal Dysplasia, Adrenal Hypoplasia Congenita, and Genital Anomalies (IMAGe syndrome), 614732	Congenital adrenal hypoplasia	Endocrine disorders	MONOALLELIC, autosomal or pseudoautosomal, paternally imprinted (maternal allele expressed)
MC2R	ENSG00000185231	3	Ideopathic Primary Adrenal Failure	Congenital adrenal hypoplasia	Endocrine disorders	BIALLELIC, autosomal or pseudoautosomal
MRAP	ENSG00000170262	3	Ideopathic Primary Adrenal Failure	Congenital adrenal hypoplasia	Endocrine disorders	BIALLELIC, autosomal or pseudoautosomal
NR5A1	ENSG00000136931	3	Ideopathic Primary Adrenal Failure	Congenital adrenal hypoplasia	Endocrine disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
SGPL1	ENSG00000166224	3	Adrenal insufficiency	Congenital adrenal hypoplasia	Endocrine disorders	BIALLELIC, autosomal or pseudoautosomal
ANGPTL6	ENSG00000130812	3	brain aneurysm MONDO:0005291	Cerebral vascular malformations	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
CHD4	ENSG00000111642	2	Moyamoya disease MONDO:0016820	Cerebral vascular malformations	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
SETD5	ENSG00000168137	2	Moyamoya disease MONDO:0016820	Cerebral vascular malformations	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
CNOT3	ENSG00000088038	2	Moyamoya disease MONDO:0016820	Cerebral vascular malformations	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
PKD1	ENSG00000008710	2	Polycystic kidney disease, adult type I, OMIM:173900	Cerebral vascular malformations	Neurology and neurodevelopmental disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
FLVCR2	ENSG00000119686	2	Proliferative Vasculopathy And Hydranencephaly-Hydrocephaly Syndrome, OMIM:225790	Cerebral vascular malformations	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal
YY1AP1	ENSG00000163374	3	Grange syndrome, OMIM:602531	Cerebral vascular malformations	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal
SLC2A10	ENSG00000197496	3	Arterial tortuosity syndrome, OMIM:208050	Cerebral vascular malformations	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal
PDCD10	ENSG00000114209	3	Cerebral cavernous malformations 3, OMIM:603285	Cerebral vascular malformations	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
COL3A1	ENSG00000168542	3	Ehlers-Danlos syndrome, vascular type, OMIM:130050	Cerebral vascular malformations	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
CCM2	ENSG00000136280	3	Cerebral cavernous malformations-2, OMIM:603284	Cerebral vascular malformations	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
ACTA2	ENSG00000107796	3	Moyamoya disease 5, OMIM:614042	Cerebral vascular malformations	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
ATR	ENSG00000175054	2	Seckel syndrome 1, OMIM:210600	Cerebral vascular malformations	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal
GUCY1A3	ENSG00000164116	3	Moyamoya 6 with achalasia, OMIM:615750	Cerebral vascular malformations	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal
HBB	ENSG00000244734	2	Sickle cell anemia, OMIM:603903	Cerebral vascular malformations	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal
NF1	ENSG00000196712	2	Moyamoya disease, MONDO:0016820	Cerebral vascular malformations	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
PKD2	ENSG00000118762	2	Polycystic kidney disease 2, OMIM:613095	Cerebral vascular malformations	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
SMAD4	ENSG00000141646	3	Juvenile polyposis/hereditary hemorrhagic telangiectasia syndrome, OMIM:175050	Cerebral vascular malformations	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
THSD1	ENSG00000136114	2	subarachnoid hemorrhage	Cerebral vascular malformations	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
SMAD9	ENSG00000120693	2		Cerebral vascular malformations	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
RNF213	ENSG00000173821	3	{Moyamoya disease 2, susceptibility to}, OMIM:607151	Cerebral vascular malformations	Neurology and neurodevelopmental disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
ACVRL1	ENSG00000139567	3	Telangiectasia, hereditary hemorrhagic, type 2, OMIM	Cerebral vascular malformations	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
CBL	ENSG00000110395	2	early-onset moyamoya angiopathy	Cerebral vascular malformations	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
ADA2	ENSG00000093072	2	?Sneddon syndrome, OMIM:182410	Cerebral vascular malformations	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal
ENG	ENSG00000106991	3	Telangiectasia, hereditary hemorrhagic, type 1, OMIM:187300	Cerebral vascular malformations	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
CEP152	ENSG00000103995	2	Seckel syndrome 5, OMIM:613823	Cerebral vascular malformations	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal
MYH11	ENSG00000133392	2	moyamoya-like angiopath	Cerebral vascular malformations	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
KRIT1	ENSG00000001631	3	Cerebral cavernous malformations-1, OMIM:116860	Cerebral vascular malformations	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
PCNT	ENSG00000160299	2	Moyamoya disease, MONDO:0016820	Cerebral vascular malformations	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal
RASA1	ENSG00000145715	3	Capillary malformation-arteriovenous malformation 1, OMIM:608354	Cerebral vascular malformations	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
SAMHD1	ENSG00000101347	3	Moyamoya disease, MONDO:0016820	Cerebral vascular malformations	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal
EPHB4	ENSG00000196411	2	Capillary malformation-arteriovenous malformation 2, OMIM:618196	Cerebral vascular malformations	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
MRVI1	ENSG00000072952	2		Cerebral vascular malformations	Neurology and neurodevelopmental disorders	Unknown
GDF2	ENSG00000263761	2	Telangiectasia, hereditary hemorrhagic, type 5, OMIM:615506	Cerebral vascular malformations	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
RNF113A	ENSG00000125352	3	Trichothiodystrophy 5, nonphotosensitive, OMIM:300953	Xeroderma pigmentosum, Trichothiodystrophy or Cockayne syndrome	Dysmorphic and congenital abnormality syndromes	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
GTF2E2	ENSG00000197265	3	Trichothiodystrophy 6, nonphotosensitive, OMIM:616943	Xeroderma pigmentosum, Trichothiodystrophy or Cockayne syndrome	Dysmorphic and congenital abnormality syndromes	BIALLELIC, autosomal or pseudoautosomal
CARS	ENSG00000110619	3	Microcephaly, developmental delay, and brittle hair syndrome, OMIM:618891	Xeroderma pigmentosum, Trichothiodystrophy or Cockayne syndrome	Dysmorphic and congenital abnormality syndromes	BIALLELIC, autosomal or pseudoautosomal
TARS	ENSG00000113407	2	Trichothiodystrophy 7, nonphotosensitive, OMIM:618546	Xeroderma pigmentosum, Trichothiodystrophy or Cockayne syndrome	Dysmorphic and congenital abnormality syndromes	BIALLELIC, autosomal or pseudoautosomal
AARS	ENSG00000090861	2	trichothiodystrophy, MONDO:0018053	Xeroderma pigmentosum, Trichothiodystrophy or Cockayne syndrome	Dysmorphic and congenital abnormality syndromes	BIALLELIC, autosomal or pseudoautosomal
POLH	ENSG00000170734	3	Xeroderma pigmentosum, variant type, OMIM:278750	Xeroderma pigmentosum, Trichothiodystrophy or Cockayne syndrome	Dysmorphic and congenital abnormality syndromes	BIALLELIC, autosomal or pseudoautosomal
ERCC1	ENSG00000012061	3	Xeroderma Pigmentosum	Xeroderma pigmentosum, Trichothiodystrophy or Cockayne syndrome	Dysmorphic and congenital abnormality syndromes	BIALLELIC, autosomal or pseudoautosomal
MRE11	ENSG00000020922	2	Nijmegen breakage syndrome-like severe microcephaly	Xeroderma pigmentosum, Trichothiodystrophy or Cockayne syndrome	Dysmorphic and congenital abnormality syndromes	BIALLELIC, autosomal or pseudoautosomal
ERCC5	ENSG00000134899	3	Xeroderma pigmentosum, group G, 278780	Xeroderma pigmentosum, Trichothiodystrophy or Cockayne syndrome	Dysmorphic and congenital abnormality syndromes	BIALLELIC, autosomal or pseudoautosomal
XPA	ENSG00000136936	3	Xeroderma pigmentosum, group A, 278700	Xeroderma pigmentosum, Trichothiodystrophy or Cockayne syndrome	Dysmorphic and congenital abnormality syndromes	BIALLELIC, autosomal or pseudoautosomal
ERCC3	ENSG00000163161	3	Xeroderma pigmentosum, group B, 610651	Xeroderma pigmentosum, Trichothiodystrophy or Cockayne syndrome	Dysmorphic and congenital abnormality syndromes	BIALLELIC, autosomal or pseudoautosomal
ERCC4	ENSG00000175595	3	Xeroderma pigmentosum, group F, 278760	Xeroderma pigmentosum, Trichothiodystrophy or Cockayne syndrome	Dysmorphic and congenital abnormality syndromes	BIALLELIC, autosomal or pseudoautosomal
ERCC8	ENSG00000049167	3	Cockayne syndrome, type A	Xeroderma pigmentosum, Trichothiodystrophy or Cockayne syndrome	Dysmorphic and congenital abnormality syndromes	BIALLELIC, autosomal or pseudoautosomal
ERCC2	ENSG00000104884	3	Xeroderma pigmentosum, group D, 278730	Xeroderma pigmentosum, Trichothiodystrophy or Cockayne syndrome	Dysmorphic and congenital abnormality syndromes	BIALLELIC, autosomal or pseudoautosomal
GTF2H5	ENSG00000272047	3	Trichothiodystrophy 3, photosensitive	Xeroderma pigmentosum, Trichothiodystrophy or Cockayne syndrome	Dysmorphic and congenital abnormality syndromes	BIALLELIC, autosomal or pseudoautosomal
DDB2	ENSG00000134574	3	Xeroderma pigmentosum, group E, DDB-negative subtype, 278740	Xeroderma pigmentosum, Trichothiodystrophy or Cockayne syndrome	Dysmorphic and congenital abnormality syndromes	BIALLELIC, autosomal or pseudoautosomal
ERCC6	ENSG00000225830	3	Cockayne syndrome, type B	Xeroderma pigmentosum, Trichothiodystrophy or Cockayne syndrome	Dysmorphic and congenital abnormality syndromes	BIALLELIC, autosomal or pseudoautosomal
XPC	ENSG00000154767	3	Xeroderma pigmentosum, group C, 278720	Xeroderma pigmentosum, Trichothiodystrophy or Cockayne syndrome	Dysmorphic and congenital abnormality syndromes	BIALLELIC, autosomal or pseudoautosomal
MPLKIP	ENSG00000168303	3	Non-photosensitive trichothiodystrophy 4	Xeroderma pigmentosum, Trichothiodystrophy or Cockayne syndrome	Dysmorphic and congenital abnormality syndromes	BIALLELIC, autosomal or pseudoautosomal
APOA5	ENSG00000110243	3	Hyperchylomicronemia, late-onset OMIM:144650	Familial chylomicronaemia syndrome (FCS)		BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal
LPL	ENSG00000175445	3	Lipoprotein lipase deficiency OMIM:238600	Familial chylomicronaemia syndrome (FCS)		BOTH monoallelic and biallelic, autosomal or pseudoautosomal
CREB3L3	ENSG00000060566	3	Hypertriglyceridemia 2, OMIM:619324	Familial chylomicronaemia syndrome (FCS)		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
APOC2	ENSG00000234906	3	Hyperlipoproteinemia, type Ib OMIM:207750	Familial chylomicronaemia syndrome (FCS)		BIALLELIC, autosomal or pseudoautosomal
APOE	ENSG00000130203	3	Hyperlipoproteinemia, type III OMIM:617347	Familial chylomicronaemia syndrome (FCS)		BOTH monoallelic and biallelic, autosomal or pseudoautosomal
GPD1	ENSG00000167588	3	Hypertriglyceridemia, transient infantile OMIM:614480	Familial chylomicronaemia syndrome (FCS)		BIALLELIC, autosomal or pseudoautosomal
GPIHBP1	ENSG00000277494	3	Hyperlipoproteinemia, type 1D OMIM:615947	Familial chylomicronaemia syndrome (FCS)		BIALLELIC, autosomal or pseudoautosomal
LMF1	ENSG00000103227	3	Lipase deficiency, combined OMIM:246650	Familial chylomicronaemia syndrome (FCS)		BIALLELIC, autosomal or pseudoautosomal
MT-ND6	ENSG00000198695	3	severe infantile-onset complex I deficiency	Leber hereditary optic neuropathy		MITOCHONDRIAL
MT-ND1	ENSG00000198888	3	Leber's hereditary optic neuropathy	Leber hereditary optic neuropathy		MITOCHONDRIAL
MT-ND4	ENSG00000198886	3	Leber's hereditary optic neuropathy	Leber hereditary optic neuropathy		MITOCHONDRIAL
SMARCC1	ENSG00000173473	3	Congenital hydrocephalus	Hydrocephalus		MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
AP1S2	ENSG00000182287	3	Pettigrew syndrome, OMIM:304340	Hydrocephalus		X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
TRIM71	ENSG00000206557	3	Hydrocephalus, congenital communicating, 1, OMIM:618667	Hydrocephalus		MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
TNFRSF11A	ENSG00000141655	3	Osteopetrosis, autosomal recessive 7, OMIM:612301	Hydrocephalus		BIALLELIC, autosomal or pseudoautosomal
TCIRG1	ENSG00000110719	3	Osteopetrosis, autosomal recessive 1, OMIM:259700	Hydrocephalus		BIALLELIC, autosomal or pseudoautosomal
TBC1D32	ENSG00000146350	3	Orofaciodigital syndrome, MONDO:0015375	Hydrocephalus		BIALLELIC, autosomal or pseudoautosomal
MPDZ	ENSG00000107186	3	Hydrocephalus, congenital, 2, with or without brain or eye anomalies, OMIM:615219	Hydrocephalus		BIALLELIC, autosomal or pseudoautosomal
KIDINS220	ENSG00000134313	3	Ventriculomegaly and arthrogryposis, OMIM:619501	Hydrocephalus		BIALLELIC, autosomal or pseudoautosomal
EEF2	ENSG00000167658	3	hydrocephaly	Hydrocephalus		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
B4GAT1	ENSG00000174684	3	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 13, OMIM:615287	Hydrocephalus		BIALLELIC, autosomal or pseudoautosomal
P4HB	ENSG00000185624	2	Cole-Carpenter syndrome 1, OMIM:112240	Hydrocephalus		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
MTM1	ENSG00000171100	2	Myopathy, centronuclear, X-linked, OMIM:310400	Hydrocephalus		X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
WASHC5	ENSG00000164961	3	Ritscher-Schinzel syndrome 1, OMIM:220210	Hydrocephalus		BIALLELIC, autosomal or pseudoautosomal
SNX10	ENSG00000086300	3	Osteopetrosis, autosomal recessive 8, OMIM:615085	Hydrocephalus		BIALLELIC, autosomal or pseudoautosomal
POMK	ENSG00000185900	3	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 12, OMIM:615249	Hydrocephalus		BIALLELIC, autosomal or pseudoautosomal
LAMB1	ENSG00000091136	3	Lissencephaly 5, OMIM:615191	Hydrocephalus		BIALLELIC, autosomal or pseudoautosomal
KIAA1109	ENSG00000138688	3	Alkuraya-Kucinskas syndrome, OMIM:617822	Hydrocephalus		BIALLELIC, autosomal or pseudoautosomal
GLI3	ENSG00000106571	3	Greig cephalopolysyndactyly syndrome, OMIM:175700	Hydrocephalus		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
FANCB	ENSG00000181544	3	Vacterl Association, X-Linked, With Or Without Hydrocephalus, MONDO:0010752	Hydrocephalus		X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
COL4A1	ENSG00000187498	3	Brain small vessel disease with or without ocular anomalies, OMIM:175780	Hydrocephalus		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
CEP83	ENSG00000173588	3	Nephronophthisis 18, OMIM:615862	Hydrocephalus		BIALLELIC, autosomal or pseudoautosomal
