enst	csq	n_pos	n_obs	mu
ENST00000003100	nonsense	204	17.0	3.3691715686274505e-09
ENST00000003100	synonymous	1030	131.0	4.3915281553398056e-09
ENST00000003302	missense	7105	691.0	4.18141266713582e-09
ENST00000003302	nonsense	459	44.0	6.249418300653595e-09
ENST00000003302	synonymous	2120	277.0	5.159840094339623e-09
ENST00000004103	missense	1504	142.0	4.545783909574468e-09
ENST00000004103	nonsense	80	6.0	5.07265e-09
ENST00000004103	synonymous	522	86.0	5.745634099616858e-09
ENST00000004982	missense	999	137.0	4.910362362362363e-09
ENST00000004982	nonsense	39	7.0	4.237153846153846e-09
ENST00000004982	synonymous	393	70.0	6.561195928753181e-09
ENST00000005178	missense	2704	275.0	4.101846153846154e-09
ENST00000005178	nonsense	163	11.0	4.5156993865030675e-09
ENST00000005178	synonymous	823	98.0	4.8885577156743625e-09
ENST00000005180	missense	607	57.0	4.128084019769357e-09
ENST00000005180	nonsense	38	6.0	5.933631578947369e-09
ENST00000005180	synonymous	192	21.0	4.716484375e-09
ENST00000005226	missense	5864	699.0	5.753568383356071e-09
ENST00000005226	nonsense	306	24.0	5.287418300653595e-09
ENST00000005226	synonymous	1912	295.0	7.184018828451883e-09
ENST00000005257	missense	1367	46.0	3.945586686174104e-09
ENST00000005257	nonsense	98	2.0	5.997571428571429e-09
ENST00000005257	synonymous	380	44.0	5.898e-09
ENST00000005259	missense	1587	163.0	3.51312161310649e-09
ENST00000005259	nonsense	114	8.0	2.8193684210526315e-09
ENST00000005259	synonymous	459	55.0	4.625315904139433e-09
ENST00000005260	missense	3356	376.0	5.498983611442193e-09
ENST00000005260	nonsense	200	8.0	5.175895000000001e-09
ENST00000005260	synonymous	1034	176.0	9.665613152804642e-09
ENST00000005284	missense	2070	133.0	5.557036231884058e-09
ENST00000005284	nonsense	101	2.0	7.650653465346534e-09
ENST00000005284	synonymous	655	98.0	8.137259541984732e-09
ENST00000005340	missense	4799	569.0	5.952140445926235e-09
ENST00000005340	nonsense	188	12.0	6.2013723404255325e-09
ENST00000005340	synonymous	1628	296.0	7.688266584766585e-09
ENST00000005386	missense	4401	399.0	3.710410815723699e-09
ENST00000005386	nonsense	337	19.0	4.0675163204747775e-09
ENST00000005386	synonymous	1238	136.0	5.2923352180936996e-09
ENST00000005756	missense	2103	229.0	4.628493580599144e-09
ENST00000005756	nonsense	105	6.0	4.257733333333334e-09
ENST00000005756	synonymous	636	73.0	6.149908805031446e-09
ENST00000005995	missense	2032	269.0	4.909827755905512e-09
ENST00000005995	nonsense	117	20.0	4.206769230769231e-09
ENST00000005995	synonymous	668	111.0	6.611958083832336e-09
ENST00000006015	missense	2032	234.0	4.209532480314961e-09
ENST00000006015	nonsense	108	6.0	3.524259259259259e-09
ENST00000006015	synonymous	668	117.0	6.125359281437126e-09
ENST00000006053	missense	2549	315.0	6.254296979207532e-09
ENST00000006053	nonsense	119	6.0	6.463210084033614e-09
ENST00000006053	synonymous	896	185.0	9.498529017857144e-09
ENST00000006658	missense	5204	648.0	6.342898155265181e-09
ENST00000006658	nonsense	283	23.0	6.556459363957598e-09
ENST00000006658	synonymous	1722	293.0	8.479729965156794e-09
ENST00000006750	missense	1510	140.0	5.784715894039736e-09
ENST00000006750	nonsense	82	3.0	5.236341463414634e-09
ENST00000006750	synonymous	460	83.0	8.773108695652175e-09
ENST00000006777	missense	2304	277.0	5.703794704861111e-09
ENST00000006777	nonsense	103	6.0	5.027747572815535e-09
ENST00000006777	synonymous	860	142.0	8.390540697674418e-09
ENST00000007264	missense	2007	374.0	7.065162929745889e-09
ENST00000007264	nonsense	86	13.0	4.119837209302325e-09
ENST00000007264	synonymous	706	196.0	1.0604031161473087e-08
ENST00000007390	missense	2000	312.0	5.8739525e-09
ENST00000007390	nonsense	95	10.0	4.402168421052631e-09
ENST00000007390	synonymous	704	156.0	8.375034090909091e-09
ENST00000007414	missense	5514	541.0	6.2507829162132755e-09
ENST00000007414	nonsense	287	23.0	6.547891986062718e-09
ENST00000007414	synonymous	1768	299.0	8.077037330316742e-09
ENST00000007510	missense	8127	895.0	6.633351052048727e-09
ENST00000007510	nonsense	337	23.0	7.526053412462908e-09
ENST00000007510	synonymous	3110	456.0	7.840154662379421e-09
ENST00000007516	missense	1015	128.0	4.6649684729064044e-09
ENST00000007516	nonsense	57	1.0	2.752842105263158e-09
ENST00000007516	synonymous	323	53.0	6.5587151702786375e-09
ENST00000007699	missense	2289	253.0	6.710890345128878e-09
ENST00000007699	nonsense	99	2.0	1.4055535353535355e-08
ENST00000007699	synonymous	879	113.0	6.086104664391354e-09
ENST00000007735	missense	2634	361.0	5.9979525436598334e-09
ENST00000007735	nonsense	148	16.0	4.216243243243243e-09
ENST00000007735	synonymous	845	162.0	8.219027218934911e-09
ENST00000008391	missense	2926	273.0	4.333221462747778e-09
ENST00000008391	nonsense	170	1.0	2.8272000000000003e-09
ENST00000008391	synonymous	963	164.0	5.776834890965732e-09
ENST00000008527	missense	3846	330.0	4.284794851794072e-09
ENST00000008527	nonsense	251	18.0	6.462573705179283e-09
ENST00000008527	synonymous	1168	155.0	4.70769948630137e-09
ENST00000008938	missense	1264	143.0	6.14042088607595e-09
ENST00000008938	nonsense	71	7.0	5.228140845070422e-09
ENST00000008938	synonymous	420	55.0	7.68395e-09
ENST00000009041	missense	1526	117.0	4.2123342070773265e-09
ENST00000009041	nonsense	99	2.0	3.823131313131313e-09
ENST00000009041	synonymous	472	67.0	6.054540254237288e-09
ENST00000009180	missense	1519	137.0	5.53529624753127e-09
ENST00000009180	nonsense	80	1.0	4.53355e-09
ENST00000009180	synonymous	444	75.0	9.695722972972974e-09
ENST00000009530	missense	1962	195.0	5.09769011213048e-09
ENST00000009530	nonsense	93	2.0	3.5014193548387095e-09
ENST00000009530	synonymous	600	88.0	8.076221666666668e-09
ENST00000009589	missense	771	42.0	4.1209961089494165e-09
ENST00000009589	nonsense	43	0.0	5.907372093023256e-09
ENST00000009589	synonymous	248	41.0	4.472532258064516e-09
ENST00000011292	missense	2768	283.0	5.222462427745665e-09
ENST00000011292	nonsense	130	13.0	4.699715384615385e-09
ENST00000011292	synonymous	864	149.0	7.833696759259259e-09
ENST00000011619	missense	4739	488.0	4.3886482380249e-09
ENST00000011619	nonsense	281	3.0	6.171740213523131e-09
ENST00000011619	synonymous	1532	257.0	5.9606664490861614e-09
ENST00000011653	missense	2981	278.0	4.489368332774237e-09
ENST00000011653	nonsense	173	9.0	3.920543352601156e-09
ENST00000011653	synonymous	959	148.0	6.389455683003128e-09
ENST00000011691	missense	503	56.0	3.783192842942346e-09
ENST00000011691	nonsense	33	2.0	3.485818181818182e-09
ENST00000011691	synonymous	148	25.0	5.184594594594594e-09
ENST00000011898	missense	1588	173.0	5.329542191435768e-09
ENST00000011898	nonsense	78	6.0	4.887794871794872e-09
ENST00000011898	synonymous	476	107.0	9.868649159663865e-09
ENST00000012049	missense	2415	302.0	5.762487370600414e-09
ENST00000012049	nonsense	94	12.0	4.1148297872340425e-09
ENST00000012049	synonymous	920	136.0	7.110326086956522e-09
ENST00000012443	missense	3317	305.0	6.248894181489297e-09
ENST00000012443	nonsense	191	11.0	5.478968586387435e-09
ENST00000012443	synonymous	974	161.0	1.0568512320328541e-08
ENST00000013070	missense	2844	208.0	3.995751054852321e-09
ENST00000013070	nonsense	207	7.0	2.8333333333333335e-09
ENST00000013070	synonymous	765	101.0	5.908453594771241e-09
ENST00000013222	missense	1706	199.0	5.767955451348183e-09
ENST00000013222	nonsense	92	12.0	4.192195652173913e-09
ENST00000013222	synonymous	560	91.0	8.728133928571429e-09
ENST00000014914	missense	2338	283.0	5.239971343028229e-09
ENST00000014914	nonsense	103	13.0	5.6945436893203886e-09
ENST00000014914	synonymous	763	124.0	7.51719003931848e-09
ENST00000014930	missense	1238	142.0	5.707546849757673e-09
ENST00000014930	nonsense	74	5.0	3.2834864864864867e-09
ENST00000014930	synonymous	380	58.0	6.784476315789474e-09
ENST00000016171	missense	2607	252.0	4.6913551975450706e-09
ENST00000016171	nonsense	163	14.0	6.293288343558282e-09
ENST00000016171	synonymous	911	100.0	5.028734357848518e-09
ENST00000016913	missense	1744	182.0	4.107344036697247e-09
ENST00000016913	nonsense	83	9.0	3.0907349397590363e-09
ENST00000016913	synonymous	567	63.0	4.969269841269841e-09
ENST00000016946	missense	11603	10.0	3.9679627682495904e-09
ENST00000016946	nonsense	828	0.0	3.874580917874396e-09
ENST00000016946	synonymous	3445	6.0	5.233968069666182e-09
ENST00000017003	missense	5610	534.0	6.645117112299465e-09
ENST00000017003	nonsense	259	14.0	5.671532818532818e-09
ENST00000017003	synonymous	1907	297.0	8.571513896171998e-09
ENST00000019103	missense	2877	328.0	4.939556134862704e-09
ENST00000019103	nonsense	145	23.0	5.449427586206897e-09
ENST00000019103	synonymous	929	123.0	7.036204520990312e-09
ENST00000020673	missense	6560	645.0	6.202374390243903e-09
ENST00000020673	nonsense	294	14.0	6.001326530612245e-09
ENST00000020673	synonymous	2353	343.0	7.160733106672334e-09
ENST00000020926	missense	2756	275.0	5.311039550072569e-09
ENST00000020926	nonsense	137	9.0	4.296598540145985e-09
ENST00000020926	synonymous	932	140.0	7.485301502145922e-09
ENST00000020945	missense	1760	127.0	3.4322255681818183e-09
ENST00000020945	nonsense	110	0.0	2.972781818181818e-09
ENST00000020945	synonymous	533	68.0	4.736371482176361e-09
ENST00000022615	missense	1853	156.0	3.959003777657852e-09
ENST00000022615	nonsense	113	1.0	3.3669026548672565e-09
ENST00000022615	synonymous	572	64.0	5.5224108391608395e-09
ENST00000023064	missense	3154	322.0	5.89441978440076e-09
ENST00000023064	nonsense	160	9.0	3.2403625e-09
ENST00000023064	synonymous	1060	183.0	9.88386603773585e-09
ENST00000025008	missense	10585	942.0	3.6601719414265467e-09
ENST00000025008	nonsense	808	9.0	3.835002475247525e-09
ENST00000025008	synonymous	2944	361.0	4.945939198369565e-09
ENST00000025301	missense	12619	1292.0	3.632159283619938e-09
ENST00000025301	nonsense	837	15.0	3.3471302270011946e-09
ENST00000025301	synonymous	3644	469.0	5.017900109769484e-09
ENST00000027335	missense	5494	570.0	4.3595882781215874e-09
ENST00000027335	nonsense	286	24.0	4.707975524475524e-09
ENST00000027335	synonymous	1699	224.0	5.922940553266627e-09
ENST00000029410	missense	2139	299.0	6.603822346891071e-09
ENST00000029410	nonsense	97	17.0	4.090381443298969e-09
ENST00000029410	synonymous	698	140.0	8.946869627507164e-09
ENST00000035307	missense	4901	620.0	6.9069316466027344e-09
ENST00000035307	nonsense	234	35.0	9.684354700854702e-09
ENST00000035307	synonymous	1804	263.0	6.834134146341463e-09
ENST00000037243	missense	773	76.0	4.024481241914619e-09
ENST00000037243	nonsense	52	2.0	3.5214230769230772e-09
ENST00000037243	synonymous	219	35.0	6.268155251141553e-09
ENST00000037502	missense	3285	328.0	4.79451202435312e-09
ENST00000037502	nonsense	209	29.0	6.858081339712919e-09
ENST00000037502	synonymous	1033	154.0	6.679515004840271e-09
ENST00000038176	missense	6107	567.0	4.271851154412969e-09
ENST00000038176	nonsense	380	19.0	3.211484210526316e-09
ENST00000038176	synonymous	1757	227.0	6.4445031303358e-09
ENST00000039007	missense	2317	121.0	4.1508277945619334e-09
ENST00000039007	nonsense	147	0.0	5.013394557823129e-09
ENST00000039007	synonymous	713	64.0	5.56323141654979e-09
ENST00000039989	missense	7548	709.0	4.407989798622152e-09
ENST00000039989	nonsense	480	15.0	4.7925625e-09
ENST00000039989	synonymous	2232	296.0	5.7222222222222225e-09
ENST00000040584	missense	1597	179.0	4.420571070757671e-09
ENST00000040584	nonsense	115	10.0	6.035939130434783e-09
ENST00000040584	synonymous	457	88.0	6.200175054704595e-09
ENST00000040663	missense	2339	300.0	5.869294570329201e-09
ENST00000040663	nonsense	87	6.0	5.794574712643678e-09
ENST00000040663	synonymous	886	122.0	7.111273137697517e-09
ENST00000040738	missense	20252	2017.0	3.9821640331819084e-09
ENST00000040738	nonsense	1259	22.0	3.321327243844321e-09
ENST00000040738	synonymous	5939	744.0	5.539410675197845e-09
ENST00000040877	missense	10562	1178.0	4.101452281764817e-09
ENST00000040877	nonsense	639	51.0	3.6827276995305165e-09
ENST00000040877	synonymous	3379	488.0	5.694331754957088e-09
ENST00000042381	missense	7843	794.0	5.289648221343874e-09
ENST00000042381	nonsense	317	16.0	6.718643533123029e-09
ENST00000042381	synonymous	2802	369.0	5.914431477516061e-09
ENST00000043402	missense	2997	339.0	7.86199099099099e-09
ENST00000043402	nonsense	107	3.0	5.477261682242991e-09
ENST00000043402	synonymous	1144	190.0	9.271362762237763e-09
ENST00000044462	missense	1709	90.0	3.993661205383265e-09
ENST00000044462	nonsense	135	2.0	3.0890074074074076e-09
ENST00000044462	synonymous	496	56.0	4.840622983870968e-09
ENST00000046087	missense	2264	228.0	4.7079377208480565e-09
ENST00000046087	nonsense	171	8.0	4.9106315789473685e-09
ENST00000046087	synonymous	715	102.0	5.2261174825174825e-09
ENST00000046640	missense	2426	292.0	6.030152102225886e-09
ENST00000046640	nonsense	107	7.0	3.889934579439252e-09
ENST00000046640	synonymous	761	131.0	1.0392777923784494e-08
ENST00000046794	missense	3510	325.0	4.9060122507122505e-09
ENST00000046794	nonsense	207	6.0	4.307053140096619e-09
ENST00000046794	synonymous	1071	151.0	7.389364145658264e-09
ENST00000052754	missense	2362	223.0	4.30018882303133e-09
ENST00000052754	nonsense	121	6.0	5.621586776859504e-09
ENST00000052754	synonymous	739	94.0	5.933066305818674e-09
ENST00000053243	missense	1209	174.0	4.5571521918941275e-09
ENST00000053243	nonsense	73	7.0	2.505684931506849e-09
ENST00000053243	synonymous	365	56.0	7.192224657534247e-09
ENST00000053468	missense	1301	150.0	3.890259800153728e-09
ENST00000053468	nonsense	101	6.0	4.730613861386138e-09
ENST00000053468	synonymous	398	61.0	5.2083040201005025e-09
ENST00000053867	missense	3909	434.0	5.913491941673062e-09
ENST00000053867	nonsense	217	15.0	5.986184331797235e-09
ENST00000053867	synonymous	1202	228.0	9.08632945091514e-09
ENST00000054650	missense	1571	185.0	6.208924252068746e-09
ENST00000054650	nonsense	79	9.0	4.718202531645569e-09
ENST00000054650	synonymous	492	94.0	8.427235772357724e-09
ENST00000054666	missense	653	72.0	5.37375191424196e-09
ENST00000054666	nonsense	38	6.0	8.984105263157895e-09
ENST00000054666	synonymous	200	27.0	8.24736e-09
ENST00000054950	missense	2209	230.0	4.516824354911725e-09
ENST00000054950	nonsense	130	9.0	3.7183769230769233e-09
ENST00000054950	synonymous	631	102.0	6.911491283676703e-09
ENST00000055077	missense	2342	225.0	4.8613206660973526e-09
ENST00000055077	nonsense	114	10.0	4.787684210526316e-09
ENST00000055077	synonymous	721	120.0	7.81572399445215e-09
ENST00000055335	missense	5090	547.0	5.4338768172888016e-09
ENST00000055335	nonsense	204	12.0	3.7768235294117646e-09
ENST00000055335	synonymous	1888	252.0	7.3832913135593225e-09
ENST00000055682	missense	10152	636.0	3.8261568163908595e-09
ENST00000055682	nonsense	601	4.0	3.801569051580699e-09
ENST00000055682	synonymous	2882	258.0	5.091415336571825e-09
ENST00000056217	missense	10391	445.0	4.9739246463285534e-09
ENST00000056217	nonsense	572	27.0	5.74119055944056e-09
ENST00000056217	synonymous	3401	186.0	6.39212760952661e-09
ENST00000056233	missense	4574	767.0	3.989649322256231e-09
ENST00000056233	nonsense	250	35.0	3.590996e-09
ENST00000056233	synonymous	1413	289.0	5.529639773531493e-09
ENST00000057513	missense	2171	210.0	4.083553201289729e-09
ENST00000057513	nonsense	179	10.0	4.701519553072626e-09
ENST00000057513	synonymous	566	90.0	6.780356890459363e-09
ENST00000060969	missense	1374	123.0	3.669194323144105e-09
ENST00000060969	nonsense	93	3.0	4.000763440860215e-09
ENST00000060969	synonymous	387	49.0	5.3319224806201545e-09
ENST00000061240	missense	6723	635.0	4.24789602855868e-09
ENST00000061240	nonsense	456	23.0	5.372059210526316e-09
ENST00000061240	synonymous	1929	263.0	5.5569227579056504e-09
ENST00000064571	missense	1294	98.0	4.315833075734157e-09
ENST00000064571	nonsense	56	5.0	3.3300892857142854e-09
ENST00000064571	synonymous	450	80.0	6.315662222222223e-09
ENST00000064724	missense	1310	92.0	5.691292366412214e-09
ENST00000064724	nonsense	58	0.0	4.342982758620689e-09
ENST00000064724	synonymous	486	79.0	7.3478333333333336e-09
ENST00000064780	missense	2739	304.0	6.641525009127419e-09
ENST00000064780	nonsense	135	11.0	6.063725925925927e-09
ENST00000064780	synonymous	987	159.0	8.099015197568389e-09
ENST00000066544	missense	5384	317.0	3.7983512258543835e-09
ENST00000066544	nonsense	407	3.0	4.027840294840295e-09
ENST00000066544	synonymous	1616	168.0	4.9388533415841586e-09
ENST00000072644	missense	1997	188.0	4.3405122684026045e-09
ENST00000072644	nonsense	113	6.0	5.14346017699115e-09
ENST00000072644	synonymous	635	84.0	5.32440157480315e-09
ENST00000072869	missense	4022	405.0	4.636691944306315e-09
ENST00000072869	nonsense	171	15.0	4.798865497076023e-09
ENST00000072869	synonymous	1432	200.0	6.196857541899441e-09
ENST00000075120	missense	3238	339.0	4.947480234712786e-09
ENST00000075120	nonsense	140	3.0	4.0510642857142856e-09
ENST00000075120	synonymous	1077	155.0	6.895519034354689e-09
ENST00000075322	missense	5721	494.0	4.578978849851424e-09
ENST00000075322	nonsense	376	12.0	4.18405585106383e-09
ENST00000075322	synonymous	1661	218.0	6.186371462974111e-09
ENST00000075503	missense	2743	308.0	4.759413415967919e-09
ENST00000075503	nonsense	160	17.0	5.1589375e-09
ENST00000075503	synonymous	886	110.0	5.1506230248306996e-09
ENST00000078429	missense	2382	177.0	7.591488245172125e-09
ENST00000078429	nonsense	123	2.0	3.6158861788617887e-09
ENST00000078429	synonymous	717	156.0	1.3524574616457462e-08
ENST00000078445	missense	2962	338.0	5.669830519918973e-09
ENST00000078445	nonsense	138	16.0	8.367275362318841e-09
ENST00000078445	synonymous	1040	193.0	8.822549038461539e-09
ENST00000080059	missense	6363	646.0	6.329241552726702e-09
ENST00000080059	nonsense	261	7.0	6.136272030651341e-09
ENST00000080059	synonymous	2286	378.0	7.891772528433946e-09
ENST00000081029	missense	2099	206.0	4.042432110528823e-09
ENST00000081029	nonsense	149	9.0	4.94751677852349e-09
ENST00000081029	synonymous	650	91.0	5.7697292307692306e-09
ENST00000083182	missense	3834	237.0	3.9577832550860715e-09
ENST00000083182	nonsense	286	5.0	4.224013986013986e-09
ENST00000083182	synonymous	1136	126.0	4.85575088028169e-09
ENST00000084798	missense	2120	182.0	4.196274528301887e-09
ENST00000084798	nonsense	81	3.0	5.4232962962962965e-09
ENST00000084798	synonymous	742	90.0	5.184222371967655e-09
ENST00000085219	missense	5589	575.0	4.948032206119162e-09
ENST00000085219	nonsense	329	22.0	5.7077781155015195e-09
ENST00000085219	synonymous	1696	281.0	8.278518278301887e-09
ENST00000086933	missense	1285	203.0	4.993799221789883e-09
ENST00000086933	nonsense	52	8.0	4.581423076923077e-09
ENST00000086933	synonymous	499	90.0	6.479625250501001e-09
ENST00000155093	missense	5423	156.0	3.847614051263138e-09
ENST00000155093	nonsense	329	0.0	3.801650455927052e-09
ENST00000155093	synonymous	1448	60.0	5.3627727900552485e-09
ENST00000155840	missense	4360	502.0	6.752784403669725e-09
ENST00000155840	nonsense	186	20.0	5.000693548387097e-09
ENST00000155840	synonymous	1529	312.0	1.0104825376062787e-08
ENST00000155858	missense	7570	1008.0	6.8629591809775436e-09
ENST00000155858	nonsense	342	38.0	5.158347953216374e-09
ENST00000155858	synonymous	2564	508.0	1.0235837753510141e-08
ENST00000155926	missense	2257	177.0	5.444783340717767e-09
ENST00000155926	nonsense	120	3.0	4.8582749999999995e-09
ENST00000155926	synonymous	701	132.0	7.978921540656205e-09
ENST00000156109	missense	3071	215.0	5.680971996092478e-09
ENST00000156109	nonsense	158	0.0	5.305898734177215e-09
ENST00000156109	synonymous	1046	92.0	6.0603326959847035e-09
ENST00000156471	missense	9855	699.0	4.229606291222729e-09
ENST00000156471	nonsense	607	20.0	5.4345930807248766e-09
ENST00000156471	synonymous	2894	349.0	4.817601589495508e-09
ENST00000156626	missense	3925	445.0	5.193414267515924e-09
ENST00000156626	nonsense	215	17.0	4.666325581395349e-09
ENST00000156626	synonymous	1251	177.0	7.2485923261390885e-09
ENST00000157600	missense	2383	286.0	6.254627780109106e-09
ENST00000157600	nonsense	158	9.0	4.072398734177215e-09
ENST00000157600	synonymous	735	101.0	8.626138775510205e-09
ENST00000157812	missense	2755	154.0	6.19989001814882e-09
ENST00000157812	nonsense	141	5.0	4.673326241134752e-09
ENST00000157812	synonymous	857	135.0	8.598035005834307e-09
ENST00000158009	missense	2126	232.0	4.857917215428034e-09
ENST00000158009	nonsense	111	9.0	2.9045675675675676e-09
ENST00000158009	synonymous	670	107.0	7.090358208955224e-09
ENST00000158762	missense	4784	452.0	5.5748965301003344e-09
ENST00000158762	nonsense	230	18.0	6.9512695652173915e-09
ENST00000158762	synonymous	1637	238.0	6.230766646304215e-09
ENST00000158771	missense	1568	108.0	4.476151785714286e-09
ENST00000158771	nonsense	89	3.0	6.456449438202247e-09
ENST00000158771	synonymous	485	58.0	5.119461855670103e-09
ENST00000159060	missense	3717	407.0	4.667188861985472e-09
ENST00000159060	nonsense	232	18.0	5.9206379310344824e-09
ENST00000159060	synonymous	1154	167.0	6.927093587521664e-09
ENST00000159087	missense	7944	937.0	6.29143919939577e-09
ENST00000159087	nonsense	386	23.0	5.227002590673575e-09
ENST00000159087	synonymous	2749	485.0	8.44567006184067e-09
ENST00000159111	missense	7161	744.0	7.832299678815808e-09
ENST00000159111	nonsense	372	9.0	4.3667526881720436e-09
ENST00000159111	synonymous	2322	489.0	1.3186507321274762e-08
ENST00000160262	missense	3515	400.0	4.334731721194879e-09
ENST00000160262	nonsense	165	16.0	4.087927272727273e-09
ENST00000160262	synonymous	1234	188.0	5.877136142625608e-09
ENST00000160298	missense	7946	941.0	6.64969078781777e-09
ENST00000160298	nonsense	350	18.0	5.75036e-09
ENST00000160298	synonymous	2936	508.0	8.972768732970027e-09
ENST00000160373	missense	10913	1083.0	4.34993182442958e-09
ENST00000160373	nonsense	614	34.0	4.1005521172638435e-09
ENST00000160373	synonymous	3431	478.0	5.801052171378607e-09
ENST00000160382	missense	2797	192.0	5.497314980336074e-09
ENST00000160382	nonsense	139	12.0	7.146208633093525e-09
ENST00000160382	synonymous	889	161.0	8.433800899887514e-09
ENST00000160827	missense	4278	504.0	5.531048387096774e-09
ENST00000160827	nonsense	209	26.0	6.285712918660287e-09
ENST00000160827	synonymous	1489	252.0	5.383428475486905e-09
ENST00000161006	missense	2028	259.0	5.160554733727811e-09
ENST00000161006	nonsense	96	17.0	4.45859375e-09
ENST00000161006	synonymous	720	140.0	6.308865277777778e-09
ENST00000161559	missense	3441	334.0	4.411688172043011e-09
ENST00000161559	nonsense	166	9.0	4.08994578313253e-09
ENST00000161559	synonymous	1118	160.0	6.0203076923076926e-09
ENST00000161863	missense	9425	934.0	4.074992466843501e-09
ENST00000161863	nonsense	575	13.0	6.768756521739131e-09
ENST00000161863	synonymous	2861	399.0	4.573126878713737e-09
ENST00000162044	missense	3020	351.0	6.2542016556291385e-09
ENST00000162044	nonsense	140	22.0	6.880178571428571e-09
ENST00000162044	synonymous	1142	180.0	7.988836252189143e-09
ENST00000162330	missense	5581	880.0	7.365687332019352e-09
ENST00000162330	nonsense	246	14.0	6.323272357723577e-09
ENST00000162330	synonymous	1994	396.0	1.1276745235707121e-08
ENST00000162391	missense	3757	362.0	4.6981663561352145e-09
ENST00000162391	nonsense	209	7.0	6.736722488038278e-09
ENST00000162391	synonymous	1191	162.0	5.621936188077246e-09
ENST00000162749	missense	2957	251.0	4.605857964152858e-09
ENST00000162749	nonsense	160	1.0	3.70268125e-09
ENST00000162749	synonymous	969	159.0	6.648254901960785e-09
ENST00000163416	missense	4822	433.0	4.089210286188303e-09
ENST00000163416	nonsense	331	15.0	7.624800604229607e-09
ENST00000163416	synonymous	1417	176.0	5.267566690190543e-09
ENST00000164024	missense	21348	2123.0	5.734142729998126e-09
ENST00000164024	nonsense	840	24.0	6.256257142857143e-09
ENST00000164024	synonymous	7611	1054.0	6.692235185915123e-09
ENST00000164133	missense	3245	268.0	5.8727981510015404e-09
ENST00000164133	nonsense	167	7.0	3.369125748502994e-09
ENST00000164133	synonymous	1052	166.0	7.157801330798479e-09
ENST00000164139	missense	5569	659.0	6.689444065361825e-09
ENST00000164139	nonsense	267	22.0	5.097610486891385e-09
ENST00000164139	synonymous	1733	276.0	9.23791575302943e-09
ENST00000164227	missense	2889	313.0	5.086643129110419e-09
ENST00000164227	nonsense	72	4.0	4.945430555555556e-09
ENST00000164227	synonymous	1116	186.0	6.124094982078853e-09
ENST00000164305	missense	3653	329.0	3.70191568573775e-09
ENST00000164305	nonsense	259	13.0	4.2438262548262554e-09
ENST00000164305	synonymous	1065	130.0	4.4728018779342726e-09
ENST00000165524	missense	542	84.0	7.174577490774909e-09
ENST00000165524	nonsense	16	3.0	9.3638125e-09
ENST00000165524	synonymous	216	39.0	7.169620370370371e-09
ENST00000166139	missense	1696	233.0	5.606741745283019e-09
ENST00000166139	nonsense	79	6.0	5.358810126582278e-09
ENST00000166139	synonymous	583	127.0	8.111150943396227e-09
ENST00000166244	missense	6524	807.0	7.078172746781116e-09
ENST00000166244	nonsense	297	22.0	5.6242053872053876e-09
ENST00000166244	synonymous	2215	372.0	9.63057020316027e-09
ENST00000166345	missense	2848	215.0	4.6881843398876405e-09
ENST00000166345	nonsense	152	5.0	5.6576315789473685e-09
ENST00000166345	synonymous	879	136.0	7.500398179749716e-09
ENST00000167106	missense	2380	296.0	5.4855466386554624e-09
