enst	hgnc	ensg	non_distal_n_exp	non_distal_n_obs	non_distal_z	non_distal_p	non_long_exon_n_exp	non_long_exon_n_obs	non_long_exon_z	non_long_exon_p	non_nmd_n_exp	non_nmd_n_obs	non_nmd_z	non_nmd_p	pli	loeuf	constrained_region
ENST00000322054	EHD3	ENSG00000013016	6.14	0.0	-2.614885136532194	0.004462873341742	0.14	0.0	-0.3812759508375358	0.3514992483913963	7.64	5.0	-1.0075778522896013	0.1568285829009816	0.042234	0.602	distal
ENST00000367739	IFNGR1	ENSG00000027697	6.31	0.0	-2.601851756070866	0.004636096144059	0.0	0.0			9.46	7.0	-0.8369698931739018	0.2013047456465292	0.015503	0.7	distal
ENST00000220507	RHOV	ENSG00000104140	5.98	0.0	-2.590801961719576	0.0047876288056475	0.0	0.0			0.92	0.0	-1.0171388478638062	0.1545436910157545	0.76153	0.522	distal
ENST00000345080	LIN28B	ENSG00000187772	5.77	0.0	-2.508351545572088	0.0060647962319389	0.0	0.0			1.6	1.0	-0.4869282281490044	0.3131545969286812	0.55513	0.574	distal
ENST00000373880	PHYHIPL	ENSG00000165443	5.8	0.0	-2.5029767276308994	0.0061576820911057	0.0	0.0			4.98	1.0	-1.8569161986641909	0.0316615387893729	0.82096	0.436	distal
ENST00000396641	LRRC3B	ENSG00000179796	5.64	0.0	-2.4843748013246163	0.0064889567158363	0.0	0.0			0.0	0.0			0.44415	0.863	distal
ENST00000551556	SOCS2	ENSG00000120833	5.64	0.0	-2.476221461382489	0.0066390593454689	0.0	0.0			0.0	0.0			0.62999	0.638	distal
ENST00000617516	DUSP14	ENSG00000276023	5.42	0.0	-2.461503189063013	0.0069178083863342	0.0	0.0			0.0	0.0					distal
ENST00000323249	PRR7	ENSG00000131188	5.32	0.0	-2.453576098086042	0.0070721804245111	0.0	0.0			1.05	0.0	-1.0973769868355474	0.1362383145877704	0.86893	0.451	distal
ENST00000317635	TMEM11	ENSG00000178307	5.34	0.0	-2.429955839624292	0.0075503313009857	0.0	0.0			0.0	0.0			0.87922	0.434	distal
ENST00000601538	SHANK2	ENSG00000162105	5.36	0.0	-2.429886105028667	0.0075517841116175	14.92	0.0	-4.052849533782926	2.529877337567472e-05	28.57	8.0	-4.05609428663464	2.4950061243173425e-05			distal,long_exon
ENST00000273067	MARCHF4	ENSG00000144583	5.27	0.0	-2.4271085608719107	0.0076098504320164	0.0	0.0			9.69	2.0	-2.637824552122368	0.0041719869447961	0.13283	0.566	distal
ENST00000298316	ARF6	ENSG00000165527	5.21	0.0	-2.424963753211596	0.0076549576304425	0.0	0.0			0.0	0.0			0.71536	0.722	distal
ENST00000398795	TNFSF11	ENSG00000120659	5.31	0.0	-2.4173194513776823	0.0078176442492654	0.0	0.0			4.64	2.0	-1.2829763002770609	0.0997501896457048	0.0098034	0.924	distal
ENST00000618550	PRR36	ENSG00000183248	4.97	0.0	-2.411768886356489	0.0079376705513192	17.58	8.0	-2.429557915286588	0.0075586247351592	3.47	1.0	-1.3915974596337954	0.0820221642868294			distal
ENST00000615612	GNAZ	ENSG00000128266	5.18	0.0	-2.409845708470097	0.007979634065958	1.63	0.0	-1.346662076157919	0.0890445457762694	3.64	1.0	-1.460518979880715	0.0720737475617098			distal
ENST00000371019	FRAT2	ENSG00000181274	4.98	0.0	-2.399649813105626	0.0082053814918867	0.0	0.0			0.0	0.0			0.047967	1.688	distal
ENST00000376008	TMEM51	ENSG00000171729	5.2	0.0	-2.384992220495576	0.0085397412625089	0.0	0.0			1.26	1.0	-0.2495141403150872	0.4014815521691336	0.30495	0.765	distal
ENST00000282141	CRYGC	ENSG00000163254	4.95	0.0	-2.3721625937944792	0.0088421533242631	0.0	0.0			1.95	1.0	-0.7281705767904119	0.2332545873801052	0.0006061	1.311	distal
ENST00000241600	MRPS2	ENSG00000122140	5.01	0.0	-2.3612129296979845	0.009107634259303	0.0	0.0			0.69	0.0	-0.8610760520106505	0.1945980789257286	3.1326e-07	1.862	distal
ENST00000326524	GDNF	ENSG00000168621	5.13	0.0	-2.355991132109293	0.0092366793480047	0.0	0.0			0.0	0.0			0.80468	0.554	distal
ENST00000609713	KCNJ6	ENSG00000157542	4.93	0.0	-2.3392402477498497	0.0096615015903736	5.72	0.0	-2.527737473968372	0.0057400078766178	3.37	1.0	-1.355749916910292	0.0875893756416204	0.54063	0.51	distal,long_exon
ENST00000304698	FAM171B	ENSG00000144369	16.4	1.0	-3.970138117759032	3.5915489964647255e-05	0.0	0.0			12.0	2.0	-3.0343722941929654	0.0012051838967016	0.48535	0.408	distal
ENST00000581407	FAM222B	ENSG00000173065	14.61	1.0	-3.789212044094753	7.55629386278829e-05	0.0	0.0			0.0	0.0			0.29182	0.544	distal
ENST00000216923	ZFP64	ENSG00000020256	14.35	1.0	-3.733520317192076	9.441097723677254e-05	0.0	0.0			6.43	1.0	-2.2397815987609744	0.0125525525325332	0.00016534	0.758	distal
ENST00000361360	POU3F3	ENSG00000198914	13.32	1.0	-3.6172910014446753	0.0001488512706407	0.0	0.0			0.0	0.0			0.88278	0.429	distal
ENST00000378226	BTBD3	ENSG00000132640	13.4	1.0	-3.565500319669729	0.0001815813596262	0.0	0.0			3.52	0.0	-1.970409909155117	0.0243957054146979	0.12831	0.569	distal
ENST00000680005	CHRM2	ENSG00000181072	12.52	1.0	-3.4133882802461897	0.0003208022930936	0.0	0.0			0.0	0.0					distal
ENST00000310074	TADA2B	ENSG00000173011	12.22	1.0	-3.3719454353807734	0.0003731961707707	0.0	0.0			1.67	0.0	-1.413448580514045	0.0787619350409444	0.72366	0.486	distal
ENST00000354822	NKX2-1	ENSG00000136352	11.43	1.0	-3.346482203414453	0.0004092196650487	0.0	0.0			2.77	0.0	-1.767966183010976	0.0385332786222333	0.35874	0.586	distal
ENST00000454678	TRIM26	ENSG00000234127	11.88	1.0	-3.3320635467298976	0.0004310228482405	0.0	0.0			9.84	3.0	-2.2959342315732902	0.0108398210585168	0.17836	0.464	distal
ENST00000610935	ZNF787	ENSG00000142409	11.36	1.0	-3.2797401842885456	0.0005195136266963	0.0	0.0			0.0	0.0					distal
ENST00000339140	FOXR2	ENSG00000189299	11.43	1.0	-3.26677594063417	0.0005438986874556	0.0	0.0			0.0	0.0			0.076682	1.918	distal
ENST00000429584	YY2	ENSG00000230797	11.33	1.0	-3.2200873059376325	0.0006407578090371	0.0	0.0			0.0	0.0			0.40781	0.925	distal
ENST00000302327	ING2	ENSG00000168556	11.4	1.0	-3.2174614952627443	0.0006466519263673	0.0	0.0			0.0	0.0			0.72928	0.483	distal
ENST00000674357	PLAGL1	ENSG00000118495	11.2	1.0	-3.1925352390880364	0.0007051486770427	0.0	0.0			0.0	0.0					distal
ENST00000297316	SOX17	ENSG00000164736	10.82	1.0	-3.1797216588614283	0.0007370828812567	0.0	0.0			0.98	0.0	-1.057693852669744	0.1450975193767487	0.88495	0.415	distal
ENST00000606888	ANKRD34A	ENSG00000272031	10.94	1.0	-3.171838920837596	0.0007573850020369	0.0	0.0			0.0	0.0					distal
ENST00000648323	FOXL2	ENSG00000183770	10.64	1.0	-3.1535610454547625	0.0008064574530972	0.0	0.0			0.0	0.0					distal
ENST00000307194	GIMAP1	ENSG00000213203	10.5	1.0	-3.143524332627179	0.0008346326846429	0.0	0.0			0.0	0.0			0.40351	1.696	distal
ENST00000238647	IRF2BPL	ENSG00000119669	24.89	2.0	-4.891058695040996	5.014752410947788e-07	0.0	0.0			0.0	0.0			0.83623	0.405	distal
ENST00000619757	HIC1	ENSG00000177374	18.96	2.0	-4.134274187992888	1.7803908140305437e-05	0.0	0.0			0.0	0.0					distal
ENST00000395153	DACT1	ENSG00000165617	18.52	2.0	-4.040528005130431	2.666549792613462e-05	0.0	0.0			4.37	0.0	-2.179256238835159	0.0146563190865353	0.34285	0.481	distal
ENST00000674365	SLITRK1	ENSG00000178235	18.47	2.0	-4.031209872946225	2.774523245854513e-05	0.0	0.0			0.0	0.0					distal
ENST00000263390	MED26	ENSG00000105085	17.55	2.0	-3.929173499248632	4.261916243344076e-05	0.0	0.0			0.0	0.0			0.88242	0.384	distal
ENST00000652263	LRRC4B	ENSG00000131409	16.87	2.0	-3.8488291251808575	5.934187870351319e-05	0.0	0.0			0.74	0.0	-0.9076261723141144	0.1820378808481661			distal
ENST00000373517	NAP1L2	ENSG00000186462	14.87	2.0	-3.463099178534032	0.0002669957640951	0.0	0.0			0.0	0.0			0.78108	0.506	distal
ENST00000569188	HAS3	ENSG00000103044	14.31	2.0	-3.4612223472622023	0.0002688642429351	0.46	0.0	-0.7229641653316324	0.2348509501392728	5.7	5.0	-0.3114812542526918	0.3777173957694216	0.88316	0.372	distal
ENST00000392452	MB21D2	ENSG00000180611	13.99	2.0	-3.3673995678474595	0.0003794032960035	0.0	0.0			0.51	0.0	-0.7829572044971612	0.2168261216718281	0.042673	0.687	distal
ENST00000431845	ZBTB22	ENSG00000236104	13.72	2.0	-3.3318998427870588	0.0004312764652569	0.0	0.0			0.0	0.0			0.21918	0.579	distal
ENST00000261900	CCNT1	ENSG00000129315	13.83	2.0	-3.3229276692905203	0.0004453900434942	0.0	0.0			7.94	1.0	-2.5975123982152084	0.004695086512877	0.051092	0.498	distal
ENST00000239938	EGR1	ENSG00000120738	13.35	2.0	-3.2993072637476786	0.0004846187932228	0.0	0.0			0.15	0.0	-0.3986884861652106	0.3450613763472394	0.3509	0.59	distal
ENST00000338647	ZFP92	ENSG00000189420	13.17	2.0	-3.291899877382265	0.0004975651640359	0.0	0.0			0.69	0.0	-0.8655678439889612	0.1933635979907328	0.65179	0.618	distal
ENST00000300849	ZNF668	ENSG00000167394	13.37	2.0	-3.287631105622878	0.0005051706654132	1.02	0.0	-1.0482972062884544	0.147250848194669	3.86	0.0	-2.071116913489953	0.0191739358142552	0.12632	0.57	distal
ENST00000376495	OTUD1	ENSG00000165312	13.28	2.0	-3.285141989036183	0.0005096549495481	0.0	0.0			0.0	0.0			0.65091	0.619	distal
ENST00000554311	BDKRB2	ENSG00000168398	12.67	2.0	-3.208526491920346	0.000667085086546	0.0	0.0			0.0	0.0			0.11863	0.817	distal
ENST00000651870	ZBTB14	ENSG00000198081	12.86	2.0	-3.15677674960986	0.0007976171463696	0.0	0.0			0.0	0.0					distal
ENST00000373659	ZBTB6	ENSG00000186130	12.61	2.0	-3.1081712750849264	0.000941244683977	0.0	0.0			0.0	0.0			0.13693	0.641	distal
ENST00000299563	RNF169	ENSG00000166439	12.51	2.0	-3.099601138949992	0.0009689070259588	0.0	0.0			9.34	4.0	-1.8379501174898885	0.0330348780320673	0.039503	0.55	distal
ENST00000621696	ADNP	ENSG00000101126	38.09	3.0	-5.9489696686651214	1.3491781581234084e-09	0.0	0.0			0.0	0.0					distal
ENST00000270617	ZNF473	ENSG00000142528	31.9	3.0	-5.361072135458271	4.1364735725664884e-08	0.0	0.0			0.0	0.0			0.26241	0.443	distal
ENST00000683152	PRDM11	ENSG00000019485	25.67	3.0	-4.727820862879378	1.1347113259699603e-06	2.4	2.0	-0.2681219509342518	0.394302724918523	12.13	2.0	-3.066250215548651	0.001083809179251			distal
ENST00000254190	CHSY1	ENSG00000131873	20.41	3.0	-4.048740763219922	2.574697180042101e-05	0.88	1.0	0.1304240588633474	0.5518845335296626	5.6	1.0	-2.0454974323450275	0.0204029210450286	0.70781	0.405	distal
ENST00000325421	ZNF579	ENSG00000218891	17.78	3.0	-3.739742987218517	9.210425242874673e-05	0.0	0.0			0.0	0.0			0.83882	0.457	distal
ENST00000311601	SH3PXD2B	ENSG00000174705	17.24	3.0	-3.610285719487569	0.0001529299476641	0.0	0.0			14.39	6.0	-2.336981711942939	0.0097200675098433	0.0041589	0.488	distal
ENST00000379214	LGR4	ENSG00000205213	17.25	3.0	-3.5882909055926318	0.0001664263913434	0.0	0.0			11.79	6.0	-1.76213242227554	0.0390234632363257	0.48705	0.382	distal
ENST00000383263	CHRM5	ENSG00000184984	16.93	3.0	-3.5520908316585023	0.0001910914528874	0.0	0.0			0.0	0.0			0.0040271	0.743	distal
ENST00000335119	CCIN	ENSG00000185972	15.35	3.0	-3.3028384204800787	0.0004785576014873	0.0	0.0			0.0	0.0			0.12403	0.655	distal
ENST00000295082	KCNF1	ENSG00000162975	14.35	3.0	-3.172821314388435	0.0007548270303455	0.0	0.0			0.0	0.0			0.24593	0.657	distal
ENST00000237455	RNF103	ENSG00000239305	24.59	4.0	-4.356039866118603	6.621833293403187e-06	0.0	0.0			3.67	2.0	-0.9099856005910956	0.1814150518686154	0.89697	0.358	distal
ENST00000357901	ZNF441	ENSG00000197044	24.01	4.0	-4.236794185936522	1.1336689511068007e-05	0.0	0.0			0.0	0.0			0.3624	1.015	distal
ENST00000249330	VGF	ENSG00000128564	19.6	4.0	-3.736028194509368	9.34748580993056e-05	0.0	0.0			0.0	0.0			0.56825	0.5	distal
ENST00000676153	CHRM3	ENSG00000133019	19.5	4.0	-3.700334928082042	0.0001076575507557	0.0	0.0			0.0	0.0					distal
ENST00000295057	LRRTM1	ENSG00000162951	18.49	4.0	-3.607300151245264	0.0001546998388729	0.0	0.0			0.0	0.0			0.5945	0.491	distal
ENST00000330753	FLRT2	ENSG00000185070	17.52	4.0	-3.3970528200279477	0.0003405790878825	0.0	0.0			0.0	0.0			0.81715	0.413	distal
ENST00000409871	ZC3H6	ENSG00000188177	17.52	4.0	-3.375929030348777	0.0003678344655877	1.26	2.0	0.690946512659485	0.7552004226615767	21.98	3.0	-4.226017394125622	1.18931806585413e-05	0.19197	0.406	distal
ENST00000639785	CASR	ENSG00000036828	17.23	4.0	-3.3759043716111568	0.0003678674337153	5.26	4.0	-0.5800457426418364	0.2809418856017616	10.64	2.0	-2.770049935297703	0.0028023849592266			distal
ENST00000339488	PTCHD4	ENSG00000244694	17.45	4.0	-3.3725795243353964	0.0003723378919139	0.7	0.0	-0.8726206506328836	0.1914349404281899	5.84	3.0	-1.2353393166374642	0.1083521235192658	0.00016171	0.682	distal
ENST00000684572	ZSCAN20	ENSG00000121903	17.23	4.0	-3.3281327630934565	0.0004371509509028	5.76	1.0	-2.1010054647915752	0.0178202432691609	17.21	6.0	-2.8566588779195885	0.0021406283986139			distal
ENST00000380412	ZNF768	ENSG00000169957	16.45	4.0	-3.244975245698125	0.0005873041702281	0.0	0.0			0.0	0.0			0.42411	0.498	distal
ENST00000297598	PDP1	ENSG00000164951	16.53	4.0	-3.2382297186554543	0.000601369615094	0.0	0.0			0.0	0.0			0.30246	0.54	distal
ENST00000306917	FEM1B	ENSG00000169018	16.06	4.0	-3.1427093775786323	0.0008369597381699	0.0	0.0			0.25	0.0	-0.5093506487551508	0.3052532310173854	0.34865	0.522	distal
ENST00000415738	PRDM8	ENSG00000152784	15.76	4.0	-3.134616272417396	0.0008603952207021	0.0	0.0			4.09	0.0	-2.130666312853441	0.0165583211129443	0.77626	0.428	distal
ENST00000327259	TMEM151A	ENSG00000179292	15.31	4.0	-3.090536476457097	0.0009989763124394	0.0	0.0			0.0	0.0			0.0029247	0.943	distal
ENST00000563281	RBM15B	ENSG00000259956	24.17	5.0	-4.110207897320498	1.9765152567992763e-05	0.0	0.0			0.0	0.0					distal
ENST00000306085	TRIM56	ENSG00000169871	20.36	5.0	-3.594478395508504	0.0001625210571147	0.0	0.0			0.0	0.0			0.00013625	0.896	distal
ENST00000221166	NEFM	ENSG00000104722	19.75	5.0	-3.438811797886803	0.0002921366353521	7.1	1.0	-2.4201174226360846	0.0077577480235655	8.34	3.0	-1.9703013417464197	0.0244019223811631	0.017983	0.514	distal
ENST00000366795	DACT2	ENSG00000164488	18.55	5.0	-3.3347135554117937	0.0004269365356167	0.0	0.0			5.53	5.0	-0.2412887730515971	0.4046656558413355	0.0094032	1.263	distal
ENST00000343325	ZNF791	ENSG00000173875	18.2	5.0	-3.2040709323392527	0.0006774954455337	0.0	0.0			0.0	0.0			0.13394	0.515	distal
ENST00000307750	ZBTB5	ENSG00000168795	17.92	5.0	-3.199974634389346	0.0006871984142233	0.0	0.0			0.0	0.0			0.61772	0.483	distal
ENST00000520560	RBM12B	ENSG00000183808	29.11	6.0	-4.469959057090098	3.911728600576056e-06	0.0	0.0			0.0	0.0			0.44996	1.555	distal
ENST00000303545	RNF139	ENSG00000170881	21.91	6.0	-3.5544596573421434	0.0001893783070994	0.0	0.0			0.0	0.0			0.53807	0.438	distal
ENST00000603357	TIGD2	ENSG00000180346	20.64	6.0	-3.3767163223624914	0.0003667833169003	0.0	0.0			0.0	0.0					distal
ENST00000650528	MAGEL2	ENSG00000254585	43.4	7.0	-5.916270187274957	1.6466203464904939e-09	0.0	0.0			0.0	0.0					distal
ENST00000453200	URGCP	ENSG00000106608	29.19	7.0	-4.340733418109348	7.100396273453053e-06	0.0	0.0			0.2	0.0	-0.4656799900285026	0.3207222886806058	0.57799	0.395	distal
ENST00000652001	ZBED1	ENSG00000214717	26.39	7.0	-4.009120720724736	3.04726278781966e-05	0.0	0.0			0.0	0.0					distal
ENST00000287934	FZD1	ENSG00000157240	24.22	7.0	-3.7431366052416952	9.086868079477846e-05	0.0	0.0			0.0	0.0			0.042428	0.602	distal
ENST00000682385	ARHGAP32	ENSG00000134909	24.3	7.0	-3.6774276644573702	0.0001177989281299	9.5	0.0	-3.211591567749404	0.0006600094797232	30.07	6.0	-4.591063705093556	2.2049634794993177e-06			distal,long_exon
ENST00000305409	SCG2	ENSG00000171951	23.9	7.0	-3.6240937480948574	0.0001449882095082	0.0	0.0			0.0	0.0			2.1176e-05	0.853	distal
ENST00000370454	LRRC8C	ENSG00000171488	22.19	7.0	-3.3634230042022346	0.000384911535315	0.0	0.0			0.0	0.0			0.00078506	0.639	distal
ENST00000286201	FZD7	ENSG00000155760	20.5	7.0	-3.1903233406075056	0.0007105684794031	0.0	0.0			0.0	0.0			0.08835	0.606	distal
ENST00000335815	ZNF354A	ENSG00000169131	20.79	7.0	-3.1421343229505343	0.000838605361256	0.0	0.0			0.68	0.0	-0.8612874727918909	0.194539866733346	5.6407e-06	0.778	distal
ENST00000397732	ZNF709	ENSG00000242852	20.79	7.0	-3.136094128143397	0.000856071208867	0.0	0.0			0.0	0.0			0.00028372	1.856	distal
ENST00000326441	PEG3	ENSG00000198300	45.06	8.0	-5.759627668804817	4.214983922487597e-09	0.0	0.0			7.44	4.0	-1.3250364776376349	0.092579526467843	2.6257e-05	0.506	distal
ENST00000330574	INTS5	ENSG00000185085	25.38	8.0	-3.636013564949288	0.0001384448785468	0.0	0.0			0.0	0.0			0.5135	0.421	distal
ENST00000374694	FZD8	ENSG00000177283	23.21	8.0	-3.388580777266945	0.0003512766611871	0.0	0.0			0.0	0.0			0.78983	0.423	distal
ENST00000356818	PPP1R26	ENSG00000196422	30.4	9.0	-4.079451723628576	2.2571021481055925e-05	0.0	0.0			0.0	0.0					distal
ENST00000262198	ADNP2	ENSG00000101544	31.0	10.0	-3.94289835535244	4.025139006844984e-05	0.0	0.0			0.0	0.0			0.69573	0.392	distal
ENST00000326756	ZNF518B	ENSG00000178163	34.73	11.0	-4.1985103739411045	1.3433827353754546e-05	0.0	0.0			0.0	0.0			0.0022867	0.577	distal
ENST00000302277	ZNF804A	ENSG00000170396	38.92	12.0	-4.494377152525457	3.488693465701153e-06	0.0	0.0			2.82	0.0	-1.7525145966107056	0.0398426810936196	0.0055255	0.479	distal
ENST00000354340	ZNF112	ENSG00000062370	37.19	13.0	-4.13779304964036	1.75331216021357e-05	0.0	0.0			0.39	0.0	-0.6545874254234326	0.2563667111375242	0.0056068	0.533	distal
ENST00000316045	ZNF518A	ENSG00000177853	50.01	14.0	-5.293557602877974	5.99797160940001e-08	0.0	0.0			0.0	0.0					distal
ENST00000565624	ZNF469	ENSG00000225614	105.05	36.0	-7.112693443673224	5.689993263043715e-13	0.0	0.0			0.0	0.0			0.10833	0.585	distal
