enst	hgnc	ensg	non_distal_n_exp	non_distal_n_obs	non_distal_z	non_distal_p	non_long_exon_n_exp	non_long_exon_n_obs	non_long_exon_z	non_long_exon_p	non_nmd_n_exp	non_nmd_n_obs	non_nmd_z	non_nmd_p	pli	loeuf	constrained_region
ENST00000438032	HP1BP3	ENSG00000127483	3.12	1.0	-1.2363167695120174	0.1081704200456956	0.0	0.0			14.58	0.0	-3.980140848259834	3.443722422465024e-05	0.61831	0.482	nmd
ENST00000348849	RBMS1	ENSG00000153250	0.32	0.0	-0.5937168298016416	0.2763507623284791	0.0	0.0			14.14	0.0	-3.963765164283235	3.6888415276060586e-05	0.11929	0.486	nmd
ENST00000314103	CHAF1B	ENSG00000159259	1.14	0.0	-1.1083032690409858	0.1338654320730652	0.27	0.0	-0.6065800698915926	0.272064814978294	14.22	0.0	-3.953057276417217	3.8579479051522935e-05	0.42768	0.435	nmd
ENST00000683879	ZNF384	ENSG00000126746	8.56	7.0	-0.5743256404990359	0.2828737307059255	0.0	0.0			13.58	0.0	-3.861621873736936	5.63184003600839e-05			nmd
ENST00000296255	RPN1	ENSG00000163902	2.6	2.0	-0.3910180534861802	0.3478919456849796	0.0	0.0			13.55	0.0	-3.844821259883117	6.032017049767673e-05	0.239	0.475	nmd
ENST00000673685	KCNN2	ENSG00000080709	3.74	4.0	0.1389401405314752	0.5552512744913143	6.64	0.0	-2.767462934107785	0.0028247234642126	13.27	0.0	-3.818426184863756	6.715287878622511e-05			nmd
ENST00000443272	NFIC	ENSG00000141905	1.47	0.0	-1.2851828621484036	0.0993641954695019	0.26	0.0	-0.5306381169680044	0.2978347882580266	12.24	0.0	-3.706398066402294	0.0001051138956725	0.090534	0.542	nmd
ENST00000261441	RSBN1	ENSG00000081019	8.48	3.0	-1.9879780105381903	0.0234070609960138	5.08	1.0	-1.8910962907043969	0.0293057457965158	12.44	0.0	-3.699298918012927	0.0001080979258379	0.099107	0.444	nmd
ENST00000323666	METAP2	ENSG00000111142	3.32	1.0	-1.316364842566837	0.0940258083505557	0.0	0.0			12.27	0.0	-3.645372510030204	0.0001335023791602	0.0039908	0.593	nmd
ENST00000358771	SIRPA	ENSG00000198053	3.17	3.0	-0.0991053000557739	0.4605273319859344	0.0	0.0			11.83	0.0	-3.628134853510514	0.0001427380731383	0.67197	0.434	nmd
ENST00000367042	CD46	ENSG00000117335	0.0	0.0			0.0	0.0			12.13	0.0	-3.623690552834496	0.0001452145274043	1.179e-05	0.805	nmd
ENST00000506184	GPBP1	ENSG00000062194	2.34	0.0	-1.5952460327287192	0.0553286142810433	0.0	0.0			11.97	0.0	-3.609814762263469	0.0001532078730709	0.34511	0.45	nmd
ENST00000359843	FOXM1	ENSG00000111206	10.54	5.0	-1.7944979631939806	0.036366861710664	0.0	0.0			11.7	0.0	-3.6002024123749625	0.0001589847787506	0.0019401	0.586	nmd
ENST00000305921	PPM1D	ENSG00000170836	5.79	5.0	-0.3428569641244093	0.3658530345703283	0.0	0.0			11.63	0.0	-3.5993505231174536	0.0001595064712525	2.2321e-11	1.096	nmd
ENST00000302506	CDC25A	ENSG00000164045	2.64	1.0	-1.0545267157714104	0.1458209179309514	0.0	0.0			11.74	0.0	-3.570490759213222	0.0001781565125398	0.84041	0.375	nmd
ENST00000674951	PTBP2	ENSG00000117569	1.27	0.0	-1.1712787509295708	0.120743374870021	0.0	0.0			11.53	0.0	-3.552764974168773	0.0001906024411504			nmd
ENST00000331581	CADM1	ENSG00000182985	1.59	0.0	-1.308872624801406	0.0952887505000457	0.0	0.0			11.41	0.0	-3.550139570049072	0.0001925134824853	0.83979	0.388	nmd
ENST00000261789	TM9SF1	ENSG00000100926	5.55	2.0	-1.5924157580325282	0.0556456589168994	2.21	0.0	-1.5525477200390472	0.0602656118989022	10.83	0.0	-3.491123339906613	0.0002404970739568	1.4793e-07	0.897	nmd
ENST00000245663	ZBTB46	ENSG00000130584	3.2	1.0	-1.2865147361536522	0.0991317396452114	3.97	0.0	-2.109970153803845	0.0174304633767342	10.68	0.0	-3.46839315428158	0.0002617903415361	0.80852	0.397	nmd
ENST00000647337	RUNX2	ENSG00000124813	5.75	1.0	-2.0840877870410246	0.0185760913786794	0.0	0.0			10.38	0.0	-3.4533790944451304	0.0002768052041777			nmd
ENST00000379881	SOHLH2	ENSG00000120669	1.44	0.0	-1.2848306011194337	0.0994257431877448	0.0	0.0			11.04	0.0	-3.4520354178660195	0.0002781873447567	0.064933	0.567	nmd
ENST00000382276	DMRT1	ENSG00000137090	1.7	1.0	-0.5617727915343328	0.2871354160931537	0.0	0.0			9.84	0.0	-3.3152484855902227	0.0004578084749423	0.7387	0.479	nmd
ENST00000408911	ESRRG	ENSG00000196482	2.84	0.0	-1.7554951528458074	0.0395873245182187	0.0	0.0			10.03	0.0	-3.304069442549117	0.0004764611247163	0.20262	0.527	nmd
ENST00000225512	WNT3	ENSG00000108379	0.76	0.0	-0.9244688059862244	0.1776211426710697	1.7	0.0	-1.3905133781315182	0.0821865198730241	9.57	0.0	-3.284428655460177	0.0005109468360146	0.87515	0.404	nmd
ENST00000299162	FOXN4	ENSG00000139445	2.96	2.0	-0.5928031938210185	0.2766564350355856	0.0	0.0			9.65	0.0	-3.284355303504325	0.0005110798521686	0.86055	0.395	nmd
ENST00000543473	SUDS3	ENSG00000111707	1.78	0.0	-1.4225779560366176	0.0774292690288521	0.0	0.0			9.69	0.0	-3.247589669119878	0.0005819349206786	0.0045448	0.644	nmd
ENST00000618183	HNRNPA2B1	ENSG00000122566	0.29	0.0	-0.5614029931039966	0.2872614220341759	0.0	0.0			9.7	0.0	-3.236832800739063	0.000604321020629			nmd
ENST00000610401	SSBP3	ENSG00000157216	0.46	0.0	-0.7084272265043964	0.2393399948626042	0.0	0.0			9.27	0.0	-3.217546850753912	0.0006464595459059			nmd
ENST00000619168	CAMK1D	ENSG00000183049	1.46	0.0	-1.2618265843452212	0.1035055969995193	0.0	0.0			9.5	0.0	-3.2166816651350407	0.0006484120130135			nmd
ENST00000673968	LDB1	ENSG00000198728	2.67	0.0	-1.7376241050920964	0.0411385347840713	0.0	0.0			9.23	0.0	-3.205685948231062	0.0006737047874472			nmd
ENST00000257831	EHF	ENSG00000135373	1.94	0.0	-1.4429532642190075	0.0745168185505096	0.0	0.0			9.11	0.0	-3.189760085546589	0.00071195474164	0.87878	0.386	nmd
ENST00000331113	KCND2	ENSG00000184408	2.04	0.0	-1.4821775154584529	0.06914653381584	6.65	3.0	-1.496213202392453	0.0672990526000536	9.21	0.0	-3.186314796843839	0.0007204885661341	0.012477	0.574	nmd
ENST00000322030	SET	ENSG00000119335	0.91	0.0	-0.9912128700132972	0.1607908237421834	0.0	0.0			8.99	0.0	-3.137651222028151	0.0008515369858504	0.88578	0.397	nmd
ENST00000269305	TP53	ENSG00000141510	0.95	0.0	-1.0115234848122558	0.1558829733389236	0.0	0.0			8.67	0.0	-3.090146037557887	0.0010002905129022	0.53235	0.469	nmd
ENST00000305596	CD2BP2	ENSG00000169217	2.06	1.0	-0.7786032479824009	0.2181067326015863	0.3	1.0	1.3444806726189018	0.9106034989023752	8.55	0.0	-3.075762263278933	0.0010498259193921	1.5195e-05	1.037	nmd
ENST00000356261	LHX8	ENSG00000162624	1.7	0.0	-1.3680079150478863	0.0856547992951233	0.0	0.0			8.61	0.0	-3.06997364852683	0.0010703882915307	0.3819	0.511	nmd
ENST00000447459	GSG1L	ENSG00000169181	3.07	1.0	-1.2732861798507913	0.1014582545009004	0.0	0.0			8.31	0.0	-3.065745269288274	0.0010856410587461	0.7676	0.464	nmd
ENST00000382361	FSCN1	ENSG00000075618	3.06	0.0	-1.8471833099701385	0.0323602887223759	3.37	0.0	-1.9802761895697572	0.0238362513859736	8.26	0.0	-3.0552171365529306	0.0011244881720696	0.86852	0.408	nmd
ENST00000284878	CXADR	ENSG00000154639	2.47	3.0	0.3539497551129831	0.6383117308334615	0.0	0.0			8.43	0.0	-3.0295841184355328	0.0012244534855409	0.36867	0.516	nmd
ENST00000644296	TBX4	ENSG00000121075	8.58	1.0	-2.724159094941675	0.0032232722168236	0.0	0.0			8.05	0.0	-2.991782085754476	0.0013867708279734			nmd
ENST00000325897	CLVS1	ENSG00000177182	1.53	0.0	-1.2849438550142864	0.0994059522126969	0.0	0.0			8.09	0.0	-2.9905624812766205	0.0013923207730477	0.85398	0.417	nmd
ENST00000646664	ACTB	ENSG00000075624	2.63	0.0	-1.7177536374425506	0.042920780655028	0.39	0.0	-0.6673751050733184	0.2522662817634452	7.92	0.0	-2.9854592814141765	0.0014157641635958			nmd
ENST00000301480	ZNF560	ENSG00000198028	20.54	12.0	-1.951042713173058	0.0255259824795534	0.0	0.0			7.91	0.0	-2.9838443156201317	0.0014232578301344	9.6685e-06	1.103	nmd
ENST00000370025	PRPF38B	ENSG00000134186	9.43	1.0	-2.8384962291902136	0.002266332746911	0.0	0.0			8.03	0.0	-2.983504833709992	0.0014248376726726	0.70194	0.379	nmd
ENST00000532059	GATA4	ENSG00000136574	2.52	2.0	-0.3477447138681933	0.36401595654834	0.85	0.0	-0.997736551019096	0.159203562153113	7.9	0.0	-2.9789193823945217	0.0014463343713488	0.83625	0.427	nmd
ENST00000240851	TFG	ENSG00000114354	8.06	4.0	-1.5271073368063894	0.0633671614217335	0.0	0.0			7.98	0.0	-2.971064451408246	0.0014838474621852	0.14061	0.511	nmd
ENST00000641094	FOXO6	ENSG00000204060	3.39	1.0	-1.4003719233354843	0.0807009865920478	2.01	2.0	-0.0076108108085951	0.496963755092475	7.71	0.0	-2.970346387557601	0.0014873206567135			nmd
ENST00000279387	PPP4C	ENSG00000149923	2.2	0.0	-1.5642870801679722	0.0588750824358104	0.0	0.0			7.66	0.0	-2.9469618234274675	0.0016045641011079	0.4554	0.489	nmd
ENST00000374704	CCNY	ENSG00000108100	1.6	0.0	-1.3239158558213333	0.0927654958320338	0.0	0.0			7.89	0.0	-2.946120880150896	0.0016089330957969	0.80672	0.417	nmd
ENST00000471583	RAD51B	ENSG00000182185	0.95	0.0	-1.0198549753800723	0.1538986228875242	0.0	0.0			8.0	0.0	-2.9406304984978937	0.0016377249906219	2.2535e-15	1.627	nmd
ENST00000255613	KMT5C	ENSG00000133247	5.88	2.0	-1.733409216929141	0.0415114802678169	0.0	0.0			7.78	0.0	-2.939411441164077	0.0016441811424654	0.54685	0.436	nmd
ENST00000223215	MEST	ENSG00000106484	1.3	0.0	-1.1852545534280363	0.1179584081699455	0.0	0.0			7.74	0.0	-2.9268146195391083	0.001712264685155	0.39908	0.467	nmd
ENST00000558583	SHISA9	ENSG00000237515	4.78	1.0	-1.8218941030349485	0.0342355276286878	0.23	0.0	-0.5053775885712005	0.3066468283720191	7.61	0.0	-2.9255228609192536	0.0017193895452102	0.87867	0.402	nmd
ENST00000300131	NAB2	ENSG00000166886	0.97	0.0	-1.023301346827178	0.1530826935779048	3.77	0.0	-2.0418808714059744	0.0205816748306581	7.77	0.0	-2.922773887741641	0.0017346417598941	0.56734	0.46	nmd
ENST00000301645	CYP7A1	ENSG00000167910	4.55	3.0	-0.753244596179671	0.2256514725857414	1.49	0.0	-1.2827528231981933	0.0997893435279022	7.8	0.0	-2.912954432469594	0.0017901342087212	0.00024507	0.824	nmd
ENST00000619039	PIP4K2B	ENSG00000276293	1.38	0.0	-1.233182015976237	0.1087539317341493	0.0	0.0			7.81	0.0	-2.9113163229681334	0.001799547232013			nmd
ENST00000260118	GGH	ENSG00000137563	1.99	2.0	0.0079684687469153	0.5031789254513961	0.0	0.0			7.79	0.0	-2.902500062941724	0.0018509854274912	0.58132	0.495	nmd
ENST00000252338	NALF2	ENSG00000130054	4.95	1.0	-1.870494389765552	0.0307075976752216	2.94	0.0	-1.84281703360719	0.0326778644790192	7.51	0.0	-2.896659525702562	0.0018857941696994	0.81284	0.479	nmd
ENST00000373433	RPRD1B	ENSG00000101413	2.48	1.0	-0.9804812066209684	0.1634243209709621	0.0	0.0			7.62	0.0	-2.8803362075196115	0.0019862565123173	0.041768	0.603	nmd
ENST00000222725	LFNG	ENSG00000106003	1.11	0.0	-1.1280593566481625	0.1296474261322543	0.0	0.0			7.16	0.0	-2.844137834639024	0.0022265889583263	0.097612	0.69	nmd
ENST00000451037	CA10	ENSG00000154975	1.4	0.0	-1.251681672151474	0.1053429405396012	0.0	0.0			7.33	0.0	-2.8381154366833994	0.0022690383534988	0.56746	0.46	nmd
ENST00000236342	DHDDS	ENSG00000117682	3.91	2.0	-1.0270636108274702	0.1521952560548259	0.0	0.0			7.21	0.0	-2.833471383461635	0.0023022715232312	0.26785	0.503	nmd
ENST00000616435	JKAMP	ENSG00000050130	2.86	0.0	-1.7565582209010384	0.039496569742156	0.0	0.0			7.15	0.0	-2.799967240685036	0.0025553896470922			nmd
ENST00000235345	SLC35D1	ENSG00000116704	1.9	2.0	0.0795442965752536	0.5317001501816306	0.0	0.0			7.12	0.0	-2.7858602205567897	0.0026692943471938	0.00035546	0.784	nmd
ENST00000303961	EGLN2	ENSG00000269858	1.89	3.0	0.854344695250553	0.803542985322709	3.35	1.0	-1.3622114126747251	0.0865655875639633	6.78	0.0	-2.7712485651471828	0.0027920890400125	0.72166	0.447	nmd
ENST00000381577	CD274	ENSG00000120217	0.9	1.0	0.1094533963039647	0.5435785580121885	0.0	0.0			6.95	0.0	-2.753585885813461	0.0029473150795908	0.01916	0.801	nmd
ENST00000332674	MXI1	ENSG00000119950	1.63	1.0	-0.5140202083815953	0.3036189310207461	0.0	0.0			6.77	0.0	-2.732341753083668	0.0031442936438503	0.0011217	0.772	nmd
ENST00000675419	RUNX1	ENSG00000159216	5.67	1.0	-2.094604261849994	0.0181030930259655	0.0	0.0			6.48	0.0	-2.694424644723489	0.003525513421235			nmd
ENST00000372588	ESX1	ENSG00000123576	4.36	1.0	-1.6960022615313484	0.0449427258872727	0.0	0.0			6.31	0.0	-2.687187726676784	0.0036028221469765	0.52687	0.749	nmd
ENST00000343813	ICMT	ENSG00000116237	3.66	1.0	-1.4717771804830977	0.0705405288682599	0.0	0.0			6.35	0.0	-2.67705676870767	0.0037136024777887	0.79377	0.45	nmd
ENST00000216727	PABPN1	ENSG00000100836	1.2	0.0	-1.150436290009512	0.124982110239452	0.0	0.0			6.45	0.0	-2.648251377052904	0.0040454668908702	0.39216	0.569	nmd
ENST00000352618	RAD51AP1	ENSG00000111247	1.33	0.0	-1.1985521269563155	0.1153510712669053	0.0	0.0			6.5	0.0	-2.6425605339496534	0.0041140877745328	0.0072859	0.794	nmd
ENST00000329021	NFAM1	ENSG00000235568	1.25	0.0	-1.1731922028994708	0.120359369045268	0.0	0.0			6.23	0.0	-2.6377518200151377	0.0041728817771771	6.2864e-05	1.223	nmd
ENST00000331457	DRG1	ENSG00000185721	1.66	2.0	0.2767643729155272	0.609019480392947	0.0	0.0			6.47	0.0	-2.637170113356925	0.0041800447684721	0.32895	0.53	nmd
ENST00000366690	RAB4A	ENSG00000168118	0.59	0.0	-0.817110020309682	0.2069327785492931	0.0	0.0			6.3	0.0	-2.633878270358484	0.0042207873240316	0.2026	0.589	nmd
ENST00000374874	PLPPR1	ENSG00000148123	0.66	0.0	-0.8614576676412142	0.1944930133104244	0.0	0.0			6.38	0.0	-2.6311123926895643	0.00425529427587	0.56614	0.5	nmd
ENST00000464889	PCMT1	ENSG00000120265	0.43	0.0	-0.7114465736479941	0.2384037734628271	0.0	0.0			6.29	0.0	-2.6265420110683384	0.0043128671987714	0.78565	0.455	nmd
ENST00000652046	FAS	ENSG00000026103	3.76	2.0	-0.9473696302093154	0.1717252304522875	0.0	0.0			6.22	0.0	-2.597065845071306	0.0047011949108445			nmd
ENST00000221494	SF3A2	ENSG00000104897	3.91	1.0	-1.5602914940515278	0.0593455062763908	0.0	0.0			6.03	0.0	-2.595753167121177	0.0047191920945286	0.88315	0.399	nmd
ENST00000356708	ATP5F1C	ENSG00000165629	0.0	0.0			0.0	0.0			6.24	0.0	-2.5901525926037725	0.0047966698672903	0.00079192	0.812	nmd
ENST00000273153	CSRNP1	ENSG00000144655	7.91	5.0	-1.0856930630987578	0.1388074053768259	0.0	0.0			5.99	0.0	-2.5900646595776258	0.0047978953141726	0.34269	0.525	nmd
ENST00000483851	SHOX2	ENSG00000168779	1.95	0.0	-1.470447656260423	0.0707202761921793	0.0	0.0			6.02	0.0	-2.585075341592233	0.0048678860314867	0.5832	0.558	nmd
ENST00000267868	RAD51	ENSG00000051180	1.62	0.0	-1.3156810956070144	0.0941405509278394	0.0	0.0			6.11	0.0	-2.583111144835432	0.004895688702626	0.16345	0.547	nmd
ENST00000257181	PRPF38A	ENSG00000134748	0.63	0.0	-0.8161205006920864	0.2072156099044881	0.0	0.0			6.19	0.0	-2.5772628143736767	0.0049793100310878	0.77227	0.408	nmd
ENST00000368547	ECHS1	ENSG00000127884	1.15	0.0	-1.1042829274145154	0.1347352131703663	0.0	0.0			6.04	0.0	-2.57605584275286	0.0049967252568955	0.00087731	0.956	nmd
ENST00000357325	HDGF	ENSG00000143321	0.37	0.0	-0.6238538266713243	0.2663617930698386	0.0	0.0			6.01	0.0	-2.5548545017296886	0.0053116096587937	0.73552	0.48	nmd
ENST00000381020	CDX2	ENSG00000165556	4.36	2.0	-1.211758948567525	0.1128023333444425	0.0	0.0			5.62	0.0	-2.535061930980045	0.0056213723927213	0.52887	0.589	nmd
ENST00000397374	DUSP8	ENSG00000184545	8.65	3.0	-2.047849255248816	0.0202873861825826	0.0	0.0			5.7	0.0	-2.533884501884086	0.0056402952987232	0.69975	0.498	nmd
ENST00000320676	RBMX	ENSG00000147274	4.34	0.0	-2.1655519697351915	0.0151727200121897	0.0	0.0			5.99	0.0	-2.5251842302327576	0.0057818825250026	0.82878	0.432	nmd
ENST00000298171	TSHR	ENSG00000165409	15.29	22.0	1.7965466534646597	0.9637961900420065	0.0	0.0			5.79	0.0	-2.5084687710321654	0.0060627842911991	3.0447e-15	1.259	nmd
ENST00000264192	CYTIP	ENSG00000115165	5.52	3.0	-1.1248939420908777	0.1303169896714398	0.0	0.0			5.67	0.0	-2.5051843650822887	0.0061193789830984	0.0021191	0.708	nmd
ENST00000361487	PAX9	ENSG00000198807	3.74	2.0	-0.947407284491427	0.1717156403102029	0.84	0.0	-0.9648628504915736	0.1673067553676829	5.51	0.0	-2.498155050801395	0.0062420788254691	0.30866	0.614	nmd
ENST00000371652	PEDS1	ENSG00000240849	2.88	1.0	-1.1807904983728532	0.1188429797940704	0.0	0.0			5.39	0.0	-2.4968603589516065	0.0062649143509083	0.81623	0.438	nmd
ENST00000649031	HOXA13	ENSG00000106031	3.89	1.0	-1.5382195056539911	0.0619974766405216	2.66	0.0	-1.7267900762928778	0.0421026856888806	5.42	0.0	-2.494348634768305	0.0063094267001004			nmd
ENST00000215906	ASPHD2	ENSG00000128203	1.27	1.0	-0.2521775922541214	0.4004518986376864	5.9	3.0	-1.2828307079503278	0.0997756966017308	5.62	0.0	-2.4943373575451497	0.0063096271828681	0.45902	0.541	nmd
ENST00000395348	SLC16A9	ENSG00000165449	3.07	2.0	-0.6461697515897967	0.2590847133570995	6.64	4.0	-1.067738314097347	0.1428192852102233	5.67	0.0	-2.4751727310030334	0.0066585875380512	0.007078	0.685	nmd
ENST00000481752	NCK1	ENSG00000158092	3.4	0.0	-1.918980748004853	0.0274933851723115	4.26	1.0	-1.6503695078824523	0.0494336918557945	5.58	0.0	-2.4743256902402657	0.0066743971579925	0.0020702	0.825	nmd
ENST00000358935	MARCHF5	ENSG00000198060	2.65	0.0	-1.7095216850847026	0.0436771791958878	0.0	0.0			5.6	0.0	-2.473167948034663	0.0066960595377236	0.89339	0.392	nmd
ENST00000435041	UBE2J1	ENSG00000198833	4.28	0.0	-2.196926998940771	0.0140128301326031	0.0	0.0			5.62	0.0	-2.4686125075700303	0.0067819003126991	0.43658	0.495	nmd
ENST00000261593	RNF138	ENSG00000134758	1.87	0.0	-1.4480437576303389	0.0738024066319047	0.0	0.0			5.56	0.0	-2.4635803594304897	0.0068778528106712	0.67535	0.51	nmd
ENST00000220509	VPS18	ENSG00000104142	9.46	3.0	-2.215674440841434	0.0133569032894878	16.77	1.0	-4.071787043179001	2.3326911871099757e-05	5.41	0.0	-2.4612844928350817	0.00692202703703	0.4761	0.395	nmd
ENST00000369603	SMNDC1	ENSG00000119953	2.87	0.0	-1.7825126258318853	0.0373328370718299	0.0	0.0			5.57	0.0	-2.4600740090434576	0.0069454183794975	0.63777	0.529	nmd
ENST00000424952	ZDHHC3	ENSG00000163812	3.44	2.0	-0.8215895786519981	0.2056552612272857	0.0	0.0			5.45	0.0	-2.4531829201578583	0.0070799156779145	0.27925	0.55	nmd
ENST00000646441	EFNB2	ENSG00000125266	4.12	0.0	-2.133768186279913	0.0164308806589626	0.0	0.0			5.47	0.0	-2.444650335042819	0.007249631933458			nmd
ENST00000358932	CCNB1IP1	ENSG00000100814	1.83	1.0	-0.6409103584534455	0.2607904627437473	0.0	0.0			5.44	0.0	-2.4368303562223352	0.0074083142993671	0.00010395	1.126	nmd
ENST00000682809	DNAJB5	ENSG00000137094	2.08	0.0	-1.5052918876891124	0.0661245249607658	0.46	1.0	0.8263855136263076	0.7957072808095105	5.45	0.0	-2.434474671457469	0.0074567117799357			nmd
ENST00000293829	FGF11	ENSG00000161958	0.88	1.0	0.1284155815926277	0.5510899495403702	0.0	0.0			5.24	0.0	-2.430763641067501	0.0075335199610281	0.00018767	1.271	nmd
ENST00000648378	DLX5	ENSG00000105880	5.1	5.0	-0.0473903332504931	0.4811010666570461	0.0	0.0			5.3	0.0	-2.421845523973112	0.0077209565906675			nmd
ENST00000356698	RSPO3	ENSG00000146374	3.73	3.0	-0.3954977303182216	0.3462377981635867	0.0	0.0			5.43	0.0	-2.4185265072132127	0.0077917550601242	0.089252	0.604	nmd
ENST00000269593	IGFBP4	ENSG00000141753	1.96	1.0	-0.7251360487694798	0.2341842855143013	0.0	0.0			5.15	0.0	-2.4143069690508794	0.0078825870097051	0.023057	0.98	nmd
ENST00000305879	GTSF1	ENSG00000170627	0.32	0.0	-0.6169750473270971	0.2686255921991471	0.0	0.0			5.13	0.0	-2.4142650510981136	0.0078834940097313	0.022144	0.778	nmd
ENST00000286371	ATP1B3	ENSG00000069849	2.1	0.0	-1.5005254254919405	0.066739176235657	0.0	0.0			5.36	0.0	-2.4119878152289966	0.0079329058741666	0.10244	0.683	nmd
ENST00000252971	MNX1	ENSG00000130675	5.33	6.0	0.3104351097230381	0.6218849508435909	0.87	1.0	0.1447201061169027	0.5575340680532884	5.0	0.0	-2.4051082246699806	0.0080838385028913	0.78819	0.5	nmd
ENST00000367288	LMOD1	ENSG00000163431	0.79	0.0	-0.933137638734748	0.1753744539010063	8.33	2.0	-2.2621163937755258	0.0118451064943866	5.27	0.0	-2.403427885220776	0.0081210851039636	0.87057	0.407	nmd
ENST00000324194	SLC25A36	ENSG00000114120	2.58	0.0	-1.6696512266498704	0.0474941944200765	0.0	0.0			5.3	0.0	-2.393236972277967	0.0083502254142635	0.033543	0.718	nmd
ENST00000383847	FAM131A	ENSG00000175182	5.39	2.0	-1.5421675214332156	0.0615164451553518	0.0	0.0			5.04	0.0	-2.3811685492336205	0.0086289067952145	0.0066732	0.69	nmd
ENST00000400113	TUBA3C	ENSG00000198033	4.93	4.0	-0.4418917457767563	0.3292837719694645	2.15	0.0	-1.5348948772632884	0.0624048260336462	5.13	0.0	-2.375416790231835	0.0087645721021475	0.004574	0.865	nmd
ENST00000319121	KLHL11	ENSG00000178502	20.54	12.0	-1.970781934399444	0.024374411974507	0.0	0.0			4.94	0.0	-2.374758548559038	0.0087802165014314	0.20133	0.487	nmd
ENST00000369626	SLC16A1	ENSG00000155380	3.89	0.0	-2.055026435756717	0.0199382257062597	3.59	0.0	-1.968100314142099	0.0245282483626216	5.17	0.0	-2.372153440286028	0.0088423723933532	0.00073565	0.821	nmd
ENST00000267460	PELI2	ENSG00000139946	8.07	5.0	-1.14098638858703	0.1269377936512322	0.0	0.0			5.01	0.0	-2.367084008722028	0.0089644313197769	0.82955	0.408	nmd
ENST00000398073	CTDSP2	ENSG00000175215	1.91	0.0	-1.4744233543388778	0.0701838201059873	0.0	0.0			5.06	0.0	-2.35972771883928	0.0091441763163333	0.11425	0.667	nmd
ENST00000612363	TWIST2	ENSG00000233608	0.0	0.0			0.0	0.0			4.8	0.0	-2.35358710652386	0.0092966254945439			nmd
ENST00000350033	COPS7B	ENSG00000144524	2.91	1.0	-1.179608104245034	0.1190780590879829	0.0	0.0			5.04	0.0	-2.3504976652592413	0.0093741626393763	0.60071	0.488	nmd
ENST00000535829	RIMKLB	ENSG00000166532	3.2	0.0	-1.8651918541004529	0.0310772584761762	0.0	0.0			4.98	0.0	-2.348621210458206	0.0094215325336695	0.59273	0.491	nmd
ENST00000264833	OLFM2	ENSG00000105088	9.42	4.0	-1.8835666430863631	0.0298118087161842	0.0	0.0			4.95	0.0	-2.3474961201920177	0.0094500349966803	0.080225	0.615	nmd
