enst	hgnc	ensg	mis_n_pos	mis_prop_exp	mis_n_exp	mis_prop_obs	mis_n_obs	mis_oe	mis_oe_diff	mis_z	mis_p	non_n_pos	non_prop_exp	non_n_exp	non_prop_obs	non_n_obs	non_oe	non_oe_diff	non_z	non_p	syn_n_pos	syn_prop_exp	syn_n_exp	syn_prop_obs	syn_n_obs	syn_oe	syn_oe_diff	syn_z	syn_p
ENST00000609686	GRIN2B	ENSG00000273079	9732	0.1000161281704835	973.36	0.0527127003699136	513.0	0.5270403550587655	-0.4133619606577619	-15.55397083746485	7.476984603227781e-55	479	0.0929181246350614	44.51	0.0	0.0	0.0	-0.7201963593291923	-7.004783711324097	1.2368383752954136e-12	2826	0.1325629159640439	374.62	0.1426043878273177	403.0	1.0757567668570818	0.1700694239221539	1.5741765468852156	0.9422766800977488
ENST00000383202	STAG1	ENSG00000118007	8320	0.0951798504374488	791.9	0.0580528846153846	483.0	0.6099254956433894	-0.3238231058058984	-11.5397787079524	4.156941433502028e-31	530	0.0832879801302559	44.14	0.0	0.0	0.0	-0.7175539833730376	-6.939251641593006	1.9709122120431146e-12	2363	0.1202673350181444	284.19	0.1223021582733813	289.0	1.016925296456596	0.125973306635816	0.3040950497220487	0.6194722609397578
ENST00000673934	AHDC1	ENSG00000126705	9836	0.1068294755205621	1050.77	0.0840788938592923	827.0	0.7870418835710955	-0.1558154536502168	-7.304475308541972	1.3917538840350272e-13	429	0.1004463020299107	43.09	0.0	0.0	0.0	-0.7168177583891927	-6.921210784233212	2.238997980947144e-12	3603	0.1301461778406264	468.92	0.1329447682486816	479.0	1.0214962040433335	0.1059119356878578	0.4992667283697337	0.6912042544499911
ENST00000344836	USP7	ENSG00000187555	7331	0.0952488336774712	698.27	0.0501977902059746	368.0	0.5270167700173286	-0.4024325467626402	-13.13989985447839	9.724198137067756e-40	473	0.0895251606512099	42.35	0.0	0.0	0.0	-0.7126051771201845	-6.819760929930474	4.559606941697677e-12	1925	0.1308997739097312	251.98	0.1516883116883116	292.0	1.1588221287403764	0.2739281937110893	2.704175852259165	0.9965762979563968
ENST00000252744	ZSWIM6	ENSG00000130449	7688	0.1022107836030531	785.8	0.0764828303850156	588.0	0.7482820055993892	-0.1854688555958886	-7.446914600085169	4.7774212436199344e-14	417	0.1000365813603633	41.72	0.0	0.0	0.0	-0.7121189546470699	-6.808242557745405	4.939909510651352e-12	2427	0.1283434584225241	311.49	0.1392665842604037	338.0	1.085107066037433	0.188788031063409	1.6088748366621448	0.9461781436276472
ENST00000262077	NUP153	ENSG00000124789	9513	0.0971944209871342	924.61	0.1025964469673079	976.0	1.0555801905668336	0.1168245069414278	1.778679220174408	0.9623538160643864	512	0.0820648868503399	42.02	0.0	0.0	0.0	-0.7103053902632053	-6.7656211702413165	6.6369224388853984e-12	3141	0.1090297895338328	342.46	0.1120662209487424	352.0	1.0278572680021023	0.1278280588614784	0.5460007829584369	0.7074673004954881
ENST00000350908	FOXP2	ENSG00000128573	4676	0.0947767822430915	443.18	0.0705731394354148	330.0	0.7446184394602644	-0.1668011472871684	-5.650529727784123	7.997707014613146e-09	327	0.1226360432848217	40.1	0.0	0.0	0.0	-0.7100954415868669	-6.76072151217083	6.8653112437367595e-12	1363	0.1209580786496049	164.87	0.1313279530447542	179.0	1.085703887911688	0.2288196662245696	1.1740840565933734	0.8798193205772415
ENST00000546361	CHERP	ENSG00000085872	5841	0.1032093395412614	602.85	0.0657421674370827	384.0	0.6369743717342622	-0.2874310711845758	-9.412163885856325	2.4301306904820665e-21	311	0.1243389812798088	38.67	0.0	0.0	0.0	-0.7050609666428505	-6.645319075711087	1.5128045410033523e-11	1747	0.1383324251902382	241.67	0.1556954779622209	272.0	1.1255017172176935	0.242535035339973	2.1020385045232475	0.9822250484956404
ENST00000358465	TRIM33	ENSG00000197323	7319	0.098815109129122	723.23	0.0650362071321218	476.0	0.658158538777429	-0.2726555777528904	-9.6839552492425	1.7639849846447497e-22	425	0.0935297062611173	39.75	0.0	0.0	0.0	-0.7040245913113905	-6.622050099446263	1.7712547017034805e-11	2196	0.120402477553441	264.4	0.1402550091074681	308.0	1.1649016641452343	0.2779479270685026	2.858724820232704	0.9978732620730932
ENST00000651503	MECOM	ENSG00000085276	8233	0.0961627637511867	791.71	0.0824729746143568	679.0	0.8576372661706938	-0.07613945498592	-4.213347053653214	1.2580699521928126e-05	497	0.0808145733095935	40.16	0.0	0.0	0.0	-0.7034986878760205	-6.610304590222224	1.9176503671258362e-11	2294	0.1243392137755981	285.23	0.1185701830863121	272.0	0.9536163797636994	0.0622127417745634	-0.8373895690493389	0.2011868135268835
ENST00000283131	SMARCA5	ENSG00000153147	6907	0.0952697678417781	658.03	0.0428550745620385	296.0	0.4498275154628208	-0.4774974309014468	-14.837497947537154	4.191228779162088e-50	481	0.0818113732941888	39.35	0.0	0.0	0.0	-0.7006118091475804	-6.546564107821468	2.9437941126286586e-11	1927	0.1180526586322025	227.49	0.1157239231966787	223.0	0.9802628686975252	0.1022996305051482	-0.3168121255688124	0.3756930814673977
ENST00000450142	PPP1R12A	ENSG00000058272	6640	0.0948266165640567	629.65	0.0673192771084337	447.0	0.7099182085285476	-0.2157687885142237	-7.65070773024827	9.993808325354816e-15	480	0.0813432064134801	39.04	0.0	0.0	0.0	-0.6993622765809347	-6.519354797694564	3.530522750113441e-11	2025	0.1139558903729479	230.76	0.1120987654320987	227.0	0.983706014907263	0.10515527107305	-0.2630011064347393	0.396274863158687
ENST00000374866	COL5A2	ENSG00000204262	9307	0.10998455396499	1023.63	0.0860642527130117	801.0	0.782509305120014	-0.1596975727187711	-7.375761769639398	8.170399310469603e-14	471	0.0821630946362668	38.7	0.0	0.0	0.0	-0.6981563795184667	-6.493309288476295	4.1985523512489386e-11	3528	0.1001253686759858	353.24	0.1011904761904761	357.0	1.0106443211414335	0.1095685658285003	0.2107631440416034	0.5834639503548518
ENST00000298767	WAPL	ENSG00000062650	7873	0.0945067242048456	744.05	0.0676997332655912	533.0	0.7163497076809354	-0.2152765698004575	-8.131004913988548	2.1287304240804563e-16	489	0.0770031101185208	37.65	0.0	0.0	0.0	-0.6931404477288415	-6.38716953744402	8.449213069863359e-11	2253	0.1194382334769054	269.09	0.1162893919218819	262.0	0.9736519380133042	0.0857700360476345	-0.4608714506165511	0.3224454178028074
ENST00000473835	U2SURP	ENSG00000163714	6744	0.0939996905240794	633.93	0.0529359430604982	357.0	0.5631536604987933	-0.3627511059409346	-11.55553284488956	3.460841210000149e-31	499	0.0742643597135256	37.06	0.0	0.0	0.0	-0.6902216303542478	-6.326987861616596	1.2499650608636354e-10	1903	0.1159083662224908	220.57	0.1087756174461376	207.0	0.9384775808133472	0.0625627694149892	-0.9720090075178316	0.1655230337222102
ENST00000334512	ZMIZ1	ENSG00000108175	6893	0.1045270336329353	720.5	0.072392282025243	499.0	0.6925746009715475	-0.2383289261844909	-8.720442723875356	1.3855804962901708e-18	279	0.1218930411693807	34.01	0.0	0.0	0.0	-0.6850582455316115	-6.223258608082659	2.4346688317926036e-10	2125	0.1342154275057779	285.21	0.1444705882352941	307.0	1.0763998457277095	0.184387056968765	1.3868062739098914	0.9172495782497784
ENST00000445061	DHX30	ENSG00000132153	7491	0.1019799070831267	763.93	0.0452543051661994	339.0	0.4437579359365387	-0.4890428933609257	-16.223654107147553	1.715786349059938e-59	344	0.0995319262248321	34.24	0.0	0.0	0.0	-0.6821502860130988	-6.166322945380486	3.4948131090880164e-10	2582	0.1314055886972019	339.29	0.1371030209140201	354.0	1.043355241828524	0.1425232451939384	0.8569231045297806	0.8042563085390824
ENST00000409021	JAKMIP1	ENSG00000152969	5268	0.0951940479055304	501.48	0.0664388762338648	350.0	0.6979341150195422	-0.2188132409871589	-7.111418319297722	5.742821472989499e-13	343	0.0987517570621407	33.87	0.0	0.0	0.0	-0.6802939677314229	-6.1305192480495245	4.3796359303658305e-10	1581	0.140643303555063	222.36	0.137887413029728	218.0	0.9803921568627452	0.1022376189567572	-0.3151966800597438	0.376306163060863
ENST00000360876	EIF3B	ENSG00000106263	5258	0.0996768608352778	524.1	0.104602510460251	550.0	1.0494180499904595	0.1306524224959114	1.1922777101935356	0.8834238142548236	307	0.1083997054435427	33.28	0.0	0.0	0.0	-0.679188480786061	-6.109394043400967	5.000506307988491e-10	1466	0.131314052454446	192.51	0.1923601637107776	282.0	1.4648589683652795	0.5965198933263133	6.920508220093411	0.99999999999775
ENST00000360565	SCAF1	ENSG00000126461	7909	0.108263612260772	856.26	0.1040586673410039	823.0	0.9611566580244318	0.0244072057726059	-1.203542963559434	0.1143831379923049	359	0.0929358980042509	33.36	0.0	0.0	0.0	-0.6768321814420126	-6.064848886518599	6.603888723047141e-10	2919	0.1325750908957326	386.99	0.1709489551216169	499.0	1.289439003591824	0.3822321757362922	6.113721772900428	0.9999999995133304
ENST00000339995	EIF4G2	ENSG00000110321	5966	0.0951568357634469	567.71	0.0750921890714046	448.0	0.7891352979514188	-0.1326167237641526	-5.281611960193436	6.402609538771679e-08	368	0.0900307534634719	33.13	0.0	0.0	0.0	-0.6751804974950227	-6.034009563542207	7.997029630333472e-10	1730	0.1183680535811717	204.78	0.1433526011560693	248.0	1.2110557671647622	0.3396588696021388	3.21687087475828	0.9993520154413336
ENST00000338745	SATB1	ENSG00000182568	4960	0.0965908093589402	479.09	0.0524193548387096	260.0	0.5426955269364838	-0.3721942747559507	-10.531067193845512	3.106305238855782e-26	310	0.1046243424077404	32.43	0.0	0.0	0.0	-0.6743481760316039	-6.018587461467021	8.797282010714225e-10	1480	0.1247387514929893	184.61	0.1229729729729729	182.0	0.9858620876442228	0.1208159713788874	-0.2055878952241177	0.4185564168801062
ENST00000337273	TNPO1	ENSG00000083312	5937	0.0959725315095548	569.79	0.0513727471787097	305.0	0.5352849295354429	-0.3866454793894663	-11.666806489875686	9.41810003844588e-32	354	0.0919474274816515	32.55	0.0	0.0	0.0	-0.6726350604508686	-5.98709192022654	1.0681303283050647e-09	1706	0.1192532660446097	203.45	0.1148886283704572	196.0	0.9633816662570656	0.0923398646614583	-0.5562589974289802	0.289016906405852
ENST00000358102	NR3C2	ENSG00000151623	6374	0.0977936281016268	623.34	0.0773454659554439	493.0	0.7909006320788012	-0.1345335601085273	-5.496067850400795	1.9417656920946013e-08	384	0.0852382465697499	32.73	0.0	0.0	0.0	-0.6723431706902865	-5.981758380160064	1.1037077627491871e-09	1962	0.1194117233630563	234.29	0.1228338430173292	241.0	1.0286397200051218	0.1488001727708311	0.4674495642970341	0.6799108657062303
ENST00000310015	SP3	ENSG00000172845	5006	0.0996245021877252	498.72	0.0823012385137834	412.0	0.8261148540263074	-0.090606928608658	-4.092420224756658	2.134470645353588e-05	281	0.1125186925476405	31.62	0.0	0.0	0.0	-0.6716309626483828	-5.968784390719906	1.1951386322379059e-09	1609	0.1103234393799022	177.51	0.1230577998756991	198.0	1.1154301166131486	0.2541862684835693	1.630441388868964	0.9484958784272604
ENST00000650932	UHRF1	ENSG00000276043	5034	0.1023687767810129	515.32	0.0611839491458085	308.0	0.5976868741752697	-0.3205124853994967	-9.639646901448732	2.7187343425903905e-22	277	0.1103977352357496	30.58	0.0	0.0	0.0	-0.6657079377831634	-5.863028788487162	2.272496922097239e-09	1490	0.1416711808614233	211.09	0.1604026845637584	239.0	1.1322184850063954	0.2571986366202151	2.073471987589413	0.980935812265356
ENST00000252996	TAF4	ENSG00000130699	6516	0.1104931739120714	719.97	0.1032842234499693	673.0	0.9347611706043308	0.0036524850849558	-1.856180525933518	0.0317139154441022	277	0.1091926816374741	30.25	0.0	0.0	0.0	-0.6636407861941217	-5.826996568231961	2.8216886188547383e-09	2339	0.1308746698038128	306.12	0.1757161179991449	411.0	1.3426107408859271	0.4470458162139775	6.430218607057838	0.9999999999362896
ENST00000344293	TAF3	ENSG00000165632	6001	0.096940760019206	581.74	0.0753207798700216	452.0	0.7769794066077629	-0.1457985680672201	-5.660512760839934	7.546068257207881e-09	399	0.0769210252121498	30.69	0.0	0.0	0.0	-0.6600942270182911	-5.766197988774741	4.053990157341882e-09	1786	0.1224712740408376	218.73	0.1276595744680851	228.0	1.0423810176930464	0.1665236405702009	0.6688335564854525	0.7481991708034852
ENST00000373204	AGO1	ENSG00000092847	5491	0.1016317866666821	558.06	0.0460753961027135	253.0	0.4533562699351324	-0.4680053103607311	-13.62441222979374	1.4335463645293309e-42	294	0.1012748602281087	29.77	0.0	0.0	0.0	-0.6594843751319783	-5.755870924571242	4.309811513900067e-09	1738	0.1287038972299278	223.69	0.1260069044879171	219.0	0.9790334838392418	0.1013570804218788	-0.335757659725963	0.3685268105282472
ENST00000327443	SP1	ENSG00000185591	5075	0.100689884509531	511.0	0.0906403940886699	460.0	0.9001956947162426	-0.0175815765665064	-2.3791093472380607	0.0086772635244845	249	0.116810026957089	29.09	0.0	0.0	0.0	-0.6584648394531204	-5.738688752870078	4.770619219700628e-09	1680	0.1177808851569641	197.87	0.1297619047619047	218.0	1.1017334613635217	0.232604718700505	1.5234309732902096	0.9361745410566342
ENST00000281708	FBXW7	ENSG00000109670	4628	0.0960936440031859	444.72	0.0563958513396715	261.0	0.5868861305990286	-0.3247518149908238	-9.163343833824364	2.5156795279936592e-20	305	0.0954337845406989	29.11	0.0	0.0	0.0	-0.6544847029832371	-5.672582376128386	7.033042212103808e-09	1365	0.1211420513400468	165.36	0.1216117216117216	166.0	1.003870343492985	0.1467576488292221	0.0531805216902043	0.5212059624548809
ENST00000360647	ZNF148	ENSG00000163848	5248	0.0953706645996945	500.51	0.0525914634146341	276.0	0.5514375337156101	-0.3652367401839654	-10.550835353678334	2.5173726205984534e-26	349	0.0836423126406683	29.19	0.0	0.0	0.0	-0.6527399086132706	-5.644080714006732	8.303307890539777e-09	1488	0.1206621076828111	179.55	0.1297043010752688	193.0	1.0749094959621277	0.212073156224102	1.070808745170318	0.8578722830281391
ENST00000366756	DLL1	ENSG00000198719	4594	0.1036145783064814	476.01	0.0816282107096212	375.0	0.7877985756601752	-0.1271484401311808	-4.889800672239441	5.046906790599191e-07	258	0.1050790580118818	27.11	0.0	0.0	0.0	-0.6438995781529491	-5.503964231140058	1.856724606624575e-08	1373	0.1385470550381984	190.23	0.1718863801893663	236.0	1.240603479997897	0.3724989722286058	3.5758364240383145	0.9998254450494956
ENST00000284262	JPH3	ENSG00000154118	4617	0.1055202015429482	487.19	0.1245397444227853	575.0	1.1802376896077509	0.2642195741711151	4.206558546277368	0.9999870355533028	232	0.1151548924802671	26.72	0.0	0.0	0.0	-0.6433054050461313	-5.494795862532025	1.955813122116396e-08	1466	0.1406754938010545	206.23	0.242837653478854	356.0	1.72622799786646	0.8527454625251335	11.250432740719884	1.0
ENST00000383763	TRIM71	ENSG00000206557	5394	0.1046160381161789	564.3	0.0938079347423062	506.0	0.8966861598440546	-0.0252413303329911	-2.593589091534388	0.0047489963748827	223	0.1160365719445276	25.88	0.0	0.0	0.0	-0.6377441869669278	-5.410441776295577	3.143473078231979e-08	1764	0.1362023821167415	240.26	0.1808390022675736	319.0	1.32772829434779	0.4452484749022868	5.465655321691117	0.9999999769400127
ENST00000379887	ARIH1	ENSG00000166233	3668	0.0977881155713699	358.69	0.0400763358778625	147.0	0.4098246396609886	-0.4918773650691147	-11.767435330834482	2.8722210720345636e-32	261	0.0997518007031232	26.04	0.0	0.0	0.0	-0.6355410699188115	-5.37773620776268	3.7714110398847954e-08	947	0.1361377432437765	128.92	0.129883843717001	123.0	0.9540800496431896	0.1145176204832826	-0.5611957403521631	0.2873320532394431
ENST00000642384	BCL11A	ENSG00000119866	5353	0.1023839824404599	548.06	0.0715486643003923	383.0	0.6988285954092618	-0.2218521257435198	-7.441932888152156	4.961131568107914e-14	274	0.094772131155991	25.97	0.0	0.0	0.0	-0.6340586851621257	-5.355951637787584	4.255363644771784e-08	1574	0.1342236495965499	211.27	0.1283354510800508	202.0	0.9561224972783642	0.0815908119849032	-0.6852790053041794	0.2465839387146857
ENST00000426333	EFTUD2	ENSG00000108883	6356	0.0993158839924978	631.25	0.0618313404657017	393.0	0.6225742574257426	-0.3033914309916999	-9.991911128654417	8.268117495505552e-24	305	0.0852683666617216	26.01	0.0	0.0	0.0	-0.6324206982825045	-5.33208473758512	4.854580505388716e-08	1935	0.1273665402726027	246.45	0.1250645994832041	242.0	0.981943599107324	0.098569728115099	-0.3037323333615878	0.3806659112761597
ENST00000381604	ZMYND11	ENSG00000015171	3989	0.095598086695258	381.34	0.0468789170218099	187.0	0.4903760423768815	-0.4141747760490912	-10.464694629504054	6.274023815049605e-26	278	0.0920625717284876	25.59	0.0	0.0	0.0	-0.6308421554381827	-5.309284398023534	5.5028243729431346e-08	1050	0.1259313208206392	132.23	0.1266666666666666	133.0	1.0058231868713603	0.165175855698321	0.0718202040377317	0.5286275030785305
ENST00000221232	CNOT3	ENSG00000088038	4837	0.1017729402031369	492.28	0.0647095307008476	313.0	0.6358170147070773	-0.2804614943476459	-8.525584905104973	7.601978423512491e-18	248	0.1017769498504894	25.24	0.0	0.0	0.0	-0.630265792688341	-5.301007982980455	5.75825262104887e-08	1493	0.1325179259082832	197.85	0.1567314132618888	234.0	1.1827141774071266	0.312495180565236	2.7594318812131555	0.9971049021447678
ENST00000327381	XKR4	ENSG00000206579	4109	0.1021385895053675	419.69	0.0917498174738379	377.0	0.898282065333937	-0.0110633556488725	-2.1990378562547663	0.0139376153148641	225	0.1107409229751479	24.92	0.0	0.0	0.0	-0.6297313727259228	-5.293356877057979	6.004561798866278e-08	1261	0.1316806803999081	166.05	0.1451229183187946	183.0	1.102077687443541	0.2438101225322663	1.4116543093328162	0.9209741135579894
ENST00000264010	CTCF	ENSG00000102974	4794	0.0990465190856899	474.83	0.0456821026282853	219.0	0.4612176989659457	-0.4534073138782881	-12.36886892432154	1.92603761139042e-35	294	0.0855350374095097	25.15	0.0	0.0	0.0	-0.6262459252543064	-5.243993623009021	7.856881645432543e-08	1329	0.1238883834697463	164.65	0.1482317531978931	197.0	1.196477376252657	0.3394490583663326	2.6936934683991995	0.9964667439663928
ENST00000682664	ZNF131	ENSG00000172262	4130	0.0941373701628952	388.79	0.0670702179176755	277.0	0.7124668844363281	-0.1929261297000525	-5.956695347387354	1.2869470386770318e-09	281	0.0867040630534759	24.36	0.0	0.0	0.0	-0.6205269227648059	-5.16496189616447	1.2024395405909838e-07	1131	0.1216174275588681	137.55	0.1352785145888594	153.0	1.1123227917121046	0.2689476666886982	1.405648711236693	0.92008576806454
ENST00000637181	TAB2	ENSG00000055208	4532	0.0980281063668373	444.26	0.0703883495145631	319.0	0.7180479899158151	-0.1936390714827318	-6.25759367729594	1.9548141023910734e-10	244	0.0979397391621265	23.9	0.0	0.0	0.0	-0.6192047856090559	-5.1470289291184566	1.323222633288503e-07	1401	0.1122848435584942	157.31	0.1270521056388294	178.0	1.1315237429279763	0.2787567803536841	1.7507400371822337	0.960004650228186
ENST00000451782	TLE3	ENSG00000140332	4948	0.1033021936867086	511.14	0.0640662894098625	317.0	0.6201823375200533	-0.2977255319299792	-9.068191566854956	6.050433280545687e-20	226	0.1038988087891525	23.48	0.0	0.0	0.0	-0.6171160915023285	-5.118951047669777	1.536198444813438e-07	1516	0.1327990735537285	201.32	0.1497361477572559	227.0	1.1275581164315518	0.2561936150633007	1.9432586147122797	0.9740075404191092
ENST00000376552	TLE4	ENSG00000106829	4995	0.1014861813631789	506.92	0.0714714714714714	357.0	0.7042531365895999	-0.213230654006444	-7.024833903855999	1.071605245323621e-12	252	0.0940165925386162	23.69	0.0	0.0	0.0	-0.6167292389038518	-5.1137842577257615	1.578839935499046e-07	1566	0.12300785341383	192.63	0.1340996168582375	210.0	1.0901728702694284	0.2224192050681861	1.3363868869963256	0.9092885749373264
ENST00000254108	FUS	ENSG00000089280	3333	0.1048542432900191	349.48	0.0789078907890789	263.0	0.7525466407233604	-0.148259609582557	-4.889383324396722	5.057617745918577e-07	217	0.1074345789516708	23.31	0.0	0.0	0.0	-0.6164992567906076	-5.110717565076292	1.6046873853575489e-07	1062	0.1228581829836211	130.48	0.1563088512241054	166.0	1.2722256284488045	0.4329266719033571	3.320703533905417	0.9995510456923749
ENST00000284320	TOMM70	ENSG00000154174	3954	0.097509231461137	385.55	0.0773899848254931	306.0	0.7936713785501232	-0.1115024370319502	-4.264673584805147	1.0009732723686011e-05	269	0.08788825167153	23.64	0.0	0.0	0.0	-0.6150267413733344	-5.091169167260945	1.7793117484916792e-07	1138	0.1246910064283912	141.9	0.1186291739894551	135.0	0.9513742071881608	0.1053101692297158	-0.6189802583626708	0.2679646821402333
ENST00000354911	WAC	ENSG00000095787	4184	0.0968833161768646	405.36	0.0908221797323135	380.0	0.937438326425893	0.0299506710739294	-1.3254198428294135	0.0925159696248123	252	0.0923874979010968	23.28	0.0	0.0	0.0	-0.6130173870571228	-5.064733967335546	2.0448553562354159e-07	1312	0.1123519295036556	147.41	0.1234756097560975	162.0	1.098975646156977	0.2510693767630223	1.275865047007014	0.8989983856375307
ENST00000357214	SFPQ	ENSG00000116560	4436	0.1062591544877116	471.37	0.0967087466185752	429.0	0.9101130746547298	-0.004542541451406	-2.064090366853273	0.0195045745773834	232	0.0969925392480451	22.5	0.0	0.0	0.0	-0.6073726008088871	-4.991918517602064	2.989123829862266e-07	1429	0.1186723156785551	169.58	0.1910426871938418	273.0	1.6098596532609977	0.7511543866779213	8.459281978600051	1.0
ENST00000287766	SLC6A1	ENSG00000157103	3868	0.1020151100281651	394.59	0.0473112719751809	183.0	0.4637725233786969	-0.4427284431031669	-11.240723490869916	1.2863261020282516e-29	192	0.1145376218370949	21.99	0.0	0.0	0.0	-0.6067140310240314	-4.983559392274725	3.1212570278372e-07	1194	0.1300772927532809	155.31	0.1314907872696817	157.0	1.01088146288069	0.157566399136245	0.1451961875086657	0.5577220120175758
ENST00000356166	FBRS	ENSG00000156860	5917	0.109114704755106	645.63	0.110021970593206	651.0	1.008317457367223	0.081123355007843	0.2238374794692454	0.5885581172999244	229	0.0959076075543803	21.96	0.0	0.0	0.0	-0.6023415379677646	-4.9287621707423215	4.137611748566954e-07	2271	0.1279422445815776	290.56	0.1448701012769705	329.0	1.1322962555066078	0.2396717471797897	2.4150767320768223	0.9921340524327484
ENST00000324862	PRPF3	ENSG00000117360	4431	0.0964540226868451	427.39	0.0528097494922139	234.0	0.5475093006387609	-0.36237256923759	-9.841081756576036	3.74505462454894e-23	255	0.0866696371529174	22.1	0.0	0.0	0.0	-0.601564102779329	-4.919145082589136	4.346151268873637e-07	1375	0.1182447912763496	162.59	0.1316363636363636	181.0	1.113229595916108	0.2575672855282259	1.5378638738471715	0.9379590490012
ENST00000245479	SOX9	ENSG00000125398	3197	0.1057628310980103	338.12	0.0910228339067876	291.0	0.860641192476044	-0.0385643625560729	-2.710040782112194	0.003363746783622	164	0.1262067579952088	20.7	0.0	0.0	0.0	-0.5972929780579488	-4.8669724582604585	5.666040701488804e-07	929	0.1463177742716948	135.93	0.1593110871905274	148.0	1.088795703671007	0.2441201486846971	1.1205496183506063	0.8687601896279477
